scrutin_id,legislature,numero,date_scrutin,titre,objet,code_type_vote,libelle_type_vote,sort_code,sort_libelle,mode_publication,nombre_votants,suffrages_exprimes,pour,contre,abstentions,non_votants,demandeur,organe_ref,session_ref,seance_ref
VTANR5L14V1136,14,1136,2015-06-25,"l'article unique du projet de loi autorisant la ratification de l'accord d'association entre l'Union européenne et la Communauté européenne de l'énergie atomique et leurs Etats membres, d'une part, et l'Ukraine, d'autre part.","l'article unique du projet de loi autorisant la ratification de l'accord d'association entre l'Union européenne et la Communauté européenne de l'énergie atomique et leurs Etats membres, d'une part, et l'Ukraine, d'autre part.",SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,18,18,16,2,0,4,"Président du groupe socialiste, républicain et citoyen",PO644420,SCR5A2015O1,RUANR5L14S2015IDS19356
VTANR5L14V1137,14,1137,2015-06-25,"l'article unique du projet de loi autorisant la ratification de l'accord d'association entre l'Union européenne et la Communauté européenne de l'énergie atomique et leurs Etats membres, d'une part, et la Géorgie, d'autre part.","l'article unique du projet de loi autorisant la ratification de l'accord d'association entre l'Union européenne et la Communauté européenne de l'énergie atomique et leurs Etats membres, d'une part, et la Géorgie, d'autre part.",SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,18,18,16,2,0,4,"Président du groupe socialiste, républicain et citoyen",PO644420,SCR5A2015O1,RUANR5L14S2015IDS19356
VTANR5L14V1138,14,1138,2015-06-30,l'amendement n° 1329 du Gouvernement à l'article 4 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 1329 du Gouvernement à l'article 4 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,56,56,23,33,0,4,Président du groupe Les Républicains,PO644420,SCR5A2015O1,RUANR5L14S2015IDS19364
VTANR5L14V1139,14,1139,2015-06-30,les amendements n° 109 de M. Gaymard et n°768 de M. Dolez à l'article 8 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,les amendements n° 109 de M. Gaymard et n°768 de M. Dolez à l'article 8 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,44,41,12,29,3,4,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2015O1,RUANR5L14S2015IDS19365
VTANR5L14V1140,14,1140,2015-06-30,l'amendement n° 143 de M. Bussereau et identiques à l'article 8 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 143 de M. Bussereau et identiques à l'article 8 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,47,47,22,25,0,4,Président du groupe de l'union des démocrates et indépendants,PO644420,SCR5A2015O1,RUANR5L14S2015IDS19365
VTANR5L14V1141,14,1141,2015-06-30,l'amendement n° 142 de M. Bussereau et identiques à l'article 8 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 142 de M. Bussereau et identiques à l'article 8 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,49,48,26,22,1,4,Président du groupe de l'union des démocrates et indépendants,PO644420,SCR5A2015O1,RUANR5L14S2015IDS19365
VTANR5L14V1142,14,1142,2015-07-01,l'amendement n° 939 de M. Benoit à l'article 12 bis A du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 939 de M. Benoit à l'article 12 bis A du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,54,52,23,29,2,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19381
VTANR5L14V1143,14,1143,2015-07-01,l'amendement de suppression n° 774 de M. Dolez à l'article 14 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement de suppression n° 774 de M. Dolez à l'article 14 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,30,29,11,18,1,4,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19382
VTANR5L14V1144,14,1144,2015-07-01,"les amendements identiques n° 93 de M. Lamblin, n° 100 de M. Salen, n° 881 de M. Larrivé, n° 892 de M. Breton et n° 1587 de M. Gaymard à l'article 14 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).","les amendements identiques n° 93 de M. Lamblin, n° 100 de M. Salen, n° 881 de M. Larrivé, n° 892 de M. Breton et n° 1587 de M. Gaymard à l'article 14 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).",SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,52,52,17,35,0,4,"Président du groupe Les Républicains

Président du groupe de l'union des démocrates et indépendants",PO644420,SCR5A2015E1,RUANR5L14S2015IDS19382
VTANR5L14V1145,14,1145,2015-07-02,l'amendement n° 245 de M. Saddier et les amendements identiques à l'article 18 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 245 de M. Saddier et les amendements identiques à l'article 18 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,34,34,12,22,0,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19384
