scrutin_id,legislature,numero,date_scrutin,titre,objet,code_type_vote,libelle_type_vote,sort_code,sort_libelle,mode_publication,nombre_votants,suffrages_exprimes,pour,contre,abstentions,non_votants,demandeur,organe_ref,session_ref,seance_ref
VTANR5L15V1,15,1,2017-07-04,"la declaration de politique generale du Gouvernement de M. Edouard Philippe (application de l'article 49, alinea premier, de la Constitution).","la declaration de politique generale du Gouvernement de M. Edouard Philippe (application de l'article 49, alinea premier, de la Constitution).",SPS,scrutin public solennel,adopté,l'Assemblée nationale a adopté,DecompteNominatif,566,437,370,67,129,9,Conference des Presidents,PO717460,SCR5A2017E1,RUANR5L15S2017IDS20603
VTANR5L15V2,15,2,2017-07-06,l'ensemble du projet de loi prorogeant l'application de la loi n? 55-385 du 3 avril 1955 relative a l'etat d'urgence (premiere lecture).,l'ensemble du projet de loi prorogeant l'application de la loi n? 55-385 du 3 avril 1955 relative a l'etat d'urgence (premiere lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,150,150,137,13,0,1,"President(e) du groupe ""La Republique en Marche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20606
VTANR5L15V3,15,3,2017-07-10,"la motion de renvoi en commission, deposee par M. Olivier Faure, du projet de loi d'habilitation a prendre par ordonnances les mesures pour le renforcement du dialogue social (premiere lecture).","la motion de renvoi en commission, deposee par M. Olivier Faure, du projet de loi d'habilitation a prendre par ordonnances les mesures pour le renforcement du dialogue social (premiere lecture).",SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,225,225,39,186,0,1,"President du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20608
VTANR5L15V4,15,4,2017-07-10,l'amendement n? 13 de M. Gilbert Collard et les amendements identiques suivants a l'article premier du projet de loi d'habilitation a prendre par ordonnances les mesures pour le renforcement du dialogue social (premiere lecture).,l'amendement n? 13 de M. Gilbert Collard et les amendements identiques suivants a l'article premier du projet de loi d'habilitation a prendre par ordonnances les mesures pour le renforcement du dialogue social (premiere lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,202,202,28,174,0,1,"President(e) du groupe ""de la Gauche democrate et republicaine""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20609
VTANR5L15V5,15,5,2017-07-10,l'amendement n° 132 de M. Prud'homme et les amendements identiques suivants à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,l'amendement n° 132 de M. Prud'homme et les amendements identiques suivants à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,182,180,30,150,2,1,"Président du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20609
VTANR5L15V6,15,6,2017-07-10,l'amendement n° 440 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,l'amendement n° 440 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,160,160,22,138,0,1,"Président du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20609
VTANR5L15V7,15,7,2017-07-10,l'amendement n° 441 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,l'amendement n° 441 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,170,170,26,144,0,1,"Président du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20609
VTANR5L15V8,15,8,2017-07-10,l'amendement n° 120 de M. Quatennens et les amendements identiques suivants à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,l'amendement n° 120 de M. Quatennens et les amendements identiques suivants à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,154,153,23,130,1,1,"Président du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20609
VTANR5L15V10,15,10,2017-07-11,l'amendement n° 446 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,l'amendement n° 446 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,227,226,26,200,1,1,"Président du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20610
VTANR5L15V11,15,11,2017-07-11,l'amendement n° 118 de M. Quatennens et les amendements identiques suivants à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,l'amendement n° 118 de M. Quatennens et les amendements identiques suivants à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,235,229,29,200,6,1,"Président du groupe ""Nouvelle Gauche""",PO717460,SCR5A2017E1,RUANR5L15S2017IDS20610
