matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw
14193X,0.625944117765186,-0.018029484514565007,Perrin,Cédric,UMP,Les Républicains,Territoire de Belfort,136,https://www.senat.fr/senateur/perrin_cedric14193x.html,https://www.senat.fr/senimg/perrin_cedric14193x_carre.jpg,Cédric Perrin,0.625944117765186,-0.03196717112511526
14195A,0.09741357562728364,0.13906415511419346,Chasseing,Daniel,RTLI,Les Indépendants,Corrèze,310,https://www.senat.fr/senateur/chasseing_daniel14195a.html,https://www.senat.fr/senimg/chasseing_daniel14195a_carre.jpg,Daniel Chasseing,0.09741357562728364,0.24656765091169056
14205J,0.19147806319234725,0.07667553706010133,Loisier,Anne-Catherine,UC,UC,Côte-d'Or,320,https://www.senat.fr/senateur/loisier_anne_catherine14205j.html,https://www.senat.fr/senimg/loisier_anne_catherine14205j_carre.jpg,Anne-Catherine Loisier,0.19147806319234725,0.13594953379450592
14207L,-0.4849718852382211,0.20549159169568398,Cabanel,Henri,RDSE,RDSE,Hérault,3,https://www.senat.fr/senateur/cabanel_henri14207l.html,https://www.senat.fr/senimg/cabanel_henri14207l_carre.jpg,Henri Cabanel,-0.4849718852382211,0.3643467937866738
14211G,0.2310400364594072,0.11020158745141248,Grand,Jean-Pierre,RTLI,Les Indépendants,Hérault,202,https://www.senat.fr/senateur/grand_jean_pierre14211g.html,https://www.senat.fr/senimg/grand_jean_pierre14211g_carre.jpg,Jean-Pierre Grand,0.2310400364594072,0.19539288555214981
14213J,0.619238903586369,-0.015547606756422522,Imbert,Corinne,UMP,Les Républicains,Charente-Maritime,277,https://www.senat.fr/senateur/imbert_corinne14213j.html,https://www.senat.fr/senimg/imbert_corinne14213j_carre.jpg,Corinne Imbert,0.619238903586369,-0.027566678646139226
14215L,0.6973335242988978,-0.04357448871611213,Di Folco,Catherine,UMP,Les Républicains,Rhône,133,https://www.senat.fr/senateur/di_folco_catherine14215l.html,https://www.senat.fr/senimg/di_folco_catherine14215l_carre.jpg,Catherine Di Folco,0.6973335242988978,-0.07725973176615626
14217N,0.7113475312294879,-0.042180952537328106,Deseyne,Chantal,UMP,Les Républicains,Eure-et-Loir,217,https://www.senat.fr/senateur/deseyne_chantal14217n.html,https://www.senat.fr/senimg/deseyne_chantal14217n_carre.jpg,Chantal Deseyne,0.7113475312294879,-0.07478892293852502
14219Q,0.17280773444503109,0.0952849387107133,Longeot,Jean-François,UC,UC,Doubs,261,https://www.senat.fr/senateur/longeot_jean_francois14219q.html,https://www.senat.fr/senimg/longeot_jean_francois14219q_carre.jpg,Jean-François Longeot,0.17280773444503109,0.16894492679204487
14221J,0.12090078930445464,0.1445158167205431,Médevielle,Pierre,RTLI,Les Indépendants,Haute-Garonne,312,https://www.senat.fr/senateur/medevielle_pierre14221j.html,https://www.senat.fr/senimg/medevielle_pierre14221j_carre.jpg,Pierre Médevielle,0.12090078930445464,0.25623371758961544
14223L,0.6473205848745128,-0.027401138463213945,Micouleau,Brigitte,UMP,Les Républicains,Haute-Garonne,95,https://www.senat.fr/senateur/micouleau_brigitte14223l.html,https://www.senat.fr/senimg/micouleau_brigitte14223l_carre.jpg,Brigitte Micouleau,0.6473205848745128,-0.048583578835485725
14225N,-0.8264306924239093,0.039908535235135184,Raynal,Claude,SOC,SER,Haute-Garonne,20,https://www.senat.fr/senateur/raynal_claude14225n.html,https://www.senat.fr/senimg/raynal_claude14225n_carre.jpg,Claude Raynal,-0.8264306924239093,0.0707598142466936
14229S,-0.8361037820871416,0.03915886724965052,Robert,Sylvie,SOC,SER,Ille-et-Vilaine,19,https://www.senat.fr/senateur/robert_sylvie14229s.html,https://www.senat.fr/senimg/robert_sylvie14229s_carre.jpg,Sylvie Robert,-0.8361037820871416,0.06943061569086972
14237S,0.4088769259831343,0.03257703773442517,Pellevat,Cyril,RTLI,Les Indépendants,Haute-Savoie,258,https://www.senat.fr/senateur/pellevat_cyril14237s.html,https://www.senat.fr/senimg/pellevat_cyril14237s_carre.jpg,Cyril Pellevat,0.4088769259831343,0.05776070520288151
14241N,-0.3529338201465452,0.14792239199286633,Jouve,Mireille,RDSE,RDSE,Bouches-du-Rhône,83,https://www.senat.fr/senateur/jouve_mireille14241n.html,https://www.senat.fr/senimg/jouve_mireille14241n_carre.jpg,Mireille Jouve,-0.3529338201465452,0.26227374466820275
14249W,0.05254757290195477,0.21087718843631637,Duranton,Nicole,LREM,RDPI,Eure,154,https://www.senat.fr/senateur/duranton_nicole14249w.html,https://www.senat.fr/senimg/duranton_nicole14249w_carre.jpg,Nicole Duranton,0.05254757290195477,0.37389572417786593
14251Q,0.10878227181721557,0.15084348297098785,Malhuret,Claude,RTLI,Les Indépendants,Allier,256,https://www.senat.fr/senateur/malhuret_claude14251q.html,https://www.senat.fr/senimg/malhuret_claude14251q_carre.jpg,Claude Malhuret,0.10878227181721557,0.2674529839911132
14253S,0.7087929718814016,-0.014872134499130251,Nougein,Claude,UMP,Les Républicains,Corrèze,176,https://www.senat.fr/senateur/nougein_claude14253s.html,https://www.senat.fr/senimg/nougein_claude14253s_carre.jpg,Claude Nougein,0.7087929718814016,-0.026369032799876336
14255U,0.16190700633421415,0.12020270850346322,Cadic,Olivier,UC,UC,Français établis hors de France (Série 2),163,https://www.senat.fr/senateur/cadic_olivier14255u.html,https://www.senat.fr/senimg/cadic_olivier14255u_carre.jpg,Olivier Cadic,0.16190700633421415,0.21312536968699156
14257W,-0.8037900209243567,0.04407929794298319,Montaugé,Franck,SOC,SER,Gers,42,https://www.senat.fr/senateur/montauge_franck14257w.html,https://www.senat.fr/senimg/montauge_franck14257w_carre.jpg,Franck Montaugé,-0.8037900209243567,0.07815478358684963
14259Y,0.5823043506566075,-0.004153579783862152,Darnaud,Mathieu,UMP,Les Républicains,Ardèche,93,https://www.senat.fr/senateur/darnaud_mathieu14259y.html,https://www.senat.fr/senimg/darnaud_mathieu14259y_carre.jpg,Mathieu Darnaud,0.5823043506566075,-0.0073645031628761575
14267Y,0.2163167948112201,0.09150757539624677,Cigolotti,Olivier,UC,UC,Haute-Loire,123,https://www.senat.fr/senateur/cigolotti_olivier14267y.html,https://www.senat.fr/senimg/cigolotti_olivier14267y_carre.jpg,Olivier Cigolotti,0.2163167948112201,0.16224747410682053
14275Y,0.2203497740847727,0.09678191042625343,Tetuanui,Lana,UC,UC,Polynésie française,317,https://www.senat.fr/senateur/tetuanui_lana14275y.html,https://www.senat.fr/senimg/tetuanui_lana14275y_carre.jpg,Lana Tetuanui,0.2203497740847727,0.17159913196144227
