matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw,group_members,rank_left_to_right,percentile_left_to_right,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,distance_to_samantha_1d,ideal_rank_left_to_right,rank_abstention_in_group,rank_most_loyal_in_group
21073H,-0.6996330372886408,-0.06559296266954041,Mellouli,Akli,GEST,GEST,Val-de-Marne,308,https://www.senat.fr/senateur/mellouli_akli21073h.html,https://www.senat.fr/senimg/mellouli_akli21073h_carre.jpg,Akli Mellouli,-0.6996330372886408,-0.1162995792013128,16,5,0.26666666666666666,-0.6763782480103124,-0.055774603391982806,0.02524253163378541,proche,TRUE,FALSE,882,491,291,68,32,0.07709750566893424,0.036281179138321996,0.8866213151927438,782,782,0,1,0.4275944534861816,69,1.5,5.5
21074J,-0.09539067831106655,0.011652589630157454,Durox,Aymeric,NI,NI,Seine-et-Marne,269,https://www.senat.fr/senateur/durox_aymeric21074j.html,https://www.senat.fr/senimg/durox_aymeric21074j_carre.jpg,Aymeric Durox,-0.09539067831106655,0.020660619911626692,4,2,0.3333333333333333,-0.055072461329876726,0.003954399942858096,0.041046568005180965,proche,TRUE,FALSE,882,120,97,35,630,0.03968253968253968,0.7142857142857143,0.24603174603174602,217,217,0,1,0.17664790549139264,135,4,1.5
21075K,-0.6669885033701752,-0.1068864593782761,Margaté,Marianne,CRC,CRCE-K,Seine-et-Marne,15,https://www.senat.fr/senateur/margate_marianne21075k.html,https://www.senat.fr/senimg/margate_marianne21075k_carre.jpg,Marianne Margaté,-0.6669885033701752,-0.18951499889765266,18,6,0.29411764705882354,-0.6452922563535086,-0.0966530075928479,0.023988552896181518,proche,TRUE,FALSE,882,474,292,83,33,0.09410430839002268,0.03741496598639456,0.8684807256235828,766,764,2,0.9973890339425587,0.394949919567716,79,7,11
21076L,0.1280244151348845,0.13314569822099936,Vogel,Louis,RTLI,Les Indépendants,Seine-et-Marne,204,https://www.senat.fr/senateur/vogel_louis21076l.html,https://www.senat.fr/senimg/vogel_louis21076l_carre.jpg,Louis Vogel,0.1280244151348845,0.23607393301595633,20,15,0.7368421052631579,0.1570127359444524,0.11715489670009958,0.03310632079587277,proche,TRUE,FALSE,882,373,386,109,14,0.1235827664399093,0.015873015873015872,0.8605442176870748,759,752,7,0.9907773386034255,0.4000629989373437,161,19,6
21077M,-0.8778028528615593,0.05002794379242395,Ziane,Adel,SOC,SER,Seine-Saint-Denis,188,https://www.senat.fr/senateur/ziane_adel21077m.html,https://www.senat.fr/senimg/ziane_adel21077m_carre.jpg,Adel Ziane,-0.8778028528615593,0.08870202800075169,65,11,0.15625,-0.8152406676847206,0.050540205999973865,0.06256428235559286,proche,TRUE,FALSE,882,479,276,94,33,0.10657596371882086,0.03741496598639456,0.8560090702947846,755,750,5,0.9933774834437086,0.6057642690591001,11,22.5,48
21078N,-0.5256631106991696,0.1922034133663753,Laouedj,Ahmed,RDSE,RDSE,Seine-Saint-Denis,84,https://www.senat.fr/senateur/laouedj_ahmed21078n.html,https://www.senat.fr/senimg/laouedj_ahmed21078n_carre.jpg,Ahmed Laouedj,-0.5256631106991696,0.340786193912013,16,1,0,-0.43509506406770854,0.18632605781819406,0.09075854989409121,proche,TRUE,FALSE,882,454,279,145,4,0.16439909297052155,0.0045351473922902496,0.8310657596371882,727,708,19,0.9738651994497937,0.2536245268967104,98,7,8
21079P,-0.6991513449132997,-0.06780553233955756,Senée,Ghislaine,GEST,GEST,Yvelines,195,https://www.senat.fr/senateur/senee_ghislaine21079p.html,https://www.senat.fr/senimg/senee_ghislaine21079p_carre.jpg,Ghislaine Senée,-0.6991513449132997,-0.12022257507013755,16,6,0.3333333333333333,-0.6763782480103124,-0.055774603391982806,0.02575572157588366,proche,TRUE,FALSE,882,490,292,69,31,0.0782312925170068,0.035147392290249435,0.8866213151927438,782,782,0,1,0.42711276111084046,70,4.5,5.5
21080G,0.6836532701270946,-0.03190888137321654,Michallet,Damien,UMP,Les Républicains,Isère,101,https://www.senat.fr/senateur/michallet_damien21080g.html,https://www.senat.fr/senimg/michallet_damien21080g_carre.jpg,Damien Michallet,0.6836532701270946,-0.05657603080357543,131,76,0.5769230769230769,0.6571054778305727,-0.024202517789836234,0.027643684911721148,proche,TRUE,FALSE,882,416,459,6,1,0.006802721088435374,0.0011337868480725624,0.9920634920634921,875,872,3,0.9965714285714286,0.9556918539295538,293,24.5,13
21081H,0.6063350362454273,-0.014824843176198144,Khalifé,Khalifé,UMP,Les Républicains,Moselle,225,https://www.senat.fr/senateur/khalife_khalife21081h.html,https://www.senat.fr/senimg/khalife_khalife21081h_carre.jpg,Khalifé Khalifé,0.6063350362454273,-0.026285182936521535,131,30,0.2230769230769231,0.6571054778305727,-0.024202517789836234,0.05162924093873487,proche,TRUE,FALSE,882,417,460,5,0,0.005668934240362812,0,0.9943310657596371,877,871,6,0.9931584948688712,0.8783736200478864,247,15.5,32.5
21082J,-0.7682363119029617,0.03104551405302236,Weber,Michaël,SOC,SER,Moselle,191,https://www.senat.fr/senateur/weber_michael21082j.html,https://www.senat.fr/senimg/weber_michael21082j_carre.jpg,Michaël Weber,-0.7682363119029617,0.05504523768266376,65,55,0.84375,-0.8152406676847206,0.050540205999973865,0.05088666305196977,proche,TRUE,FALSE,882,471,269,93,49,0.1054421768707483,0.05555555555555555,0.8390022675736961,740,732,8,0.9891891891891892,0.4961977281005025,55,16.5,62
21083K,0.226689083897769,0.0871102111237911,Cambier,Guislain,UC,UC,Nord,322,https://www.senat.fr/senateur/cambier_guislain21083k.html,https://www.senat.fr/senimg/cambier_guislain21083k_carre.jpg,Guislain Cambier,0.226689083897769,0.15445072894289202,59,42,0.7068965517241379,0.19600620103114486,0.09263700079581998,0.031176669242974357,proche,TRUE,FALSE,882,426,414,12,30,0.013605442176870748,0.034013605442176874,0.9523809523809523,839,819,20,0.9761620977353993,0.49872766770022825,196,5,24
21084L,-0.727386937249485,-0.16483177804621518,Barros,Pierre,CRC,CRCE-K,Val-d'Oise,104,https://www.senat.fr/senateur/barros_pierre21084l.html,https://www.senat.fr/senimg/barros_pierre21084l_carre.jpg,Pierre Barros,-0.727386937249485,-0.29225492561385674,18,1,0,-0.6452922563535086,-0.0966530075928479,0.10671401675480657,intermédiaire,FALSE,FALSE,882,477,292,78,35,0.08843537414965986,0.03968253968253968,0.8718820861678005,769,769,0,1,0.4553483534470258,62,4.5,1
21085M,-0.09083616399408348,0.00786709753055927,Hochart,Joshua,NI,NI,Nord,271,https://www.senat.fr/senateur/hochart_joshua21085m.html,https://www.senat.fr/senimg/hochart_joshua21085m_carre.jpg,Joshua Hochart,-0.09083616399408348,0.013948754486807219,4,3,0.6666666666666666,-0.055072461329876726,0.003954399942858096,0.03597709869717946,proche,TRUE,FALSE,882,119,96,30,637,0.034013605442176874,0.7222222222222222,0.2437641723356009,215,215,0,1,0.18120241980837573,136,2,1.5
21086N,0.220414739121039,0.08857078106677337,Fargeot,Daniel,UC,UC,Val-d'Oise,165,https://www.senat.fr/senateur/fargeot_daniel21086n.html,https://www.senat.fr/senimg/fargeot_daniel21086n_carre.jpg,Daniel Fargeot,0.220414739121039,0.15704039196236413,59,40,0.6724137931034483,0.19600620103114486,0.09263700079581998,0.02474491613585913,proche,TRUE,FALSE,882,428,417,6,31,0.006802721088435374,0.035147392290249435,0.9580498866213152,844,831,13,0.9845971563981043,0.4924533229234982,194,1,5
21087P,0.09205522010422265,0.11884804479815746,Lermytte,Marie-Claude,RTLI,Les Indépendants,Nord,311,https://www.senat.fr/senateur/lermytte_marie_claude21087p.html,https://www.senat.fr/senimg/lermytte_marie_claude21087p_carre.jpg,Marie-Claude Lermytte,0.09205522010422265,0.21072348368467636,20,3,0.10526315789473684,0.1570127359444524,0.11715489670009958,0.0649795784428897,proche,TRUE,FALSE,882,389,385,98,10,0.1111111111111111,0.011337868480725623,0.8775510204081632,772,758,14,0.9818652849740933,0.3640938039066819,146,15.5,12
21088Q,-0.6972727272115975,-0.13119847672506654,Brossat,Ian,CRC,CRCE-K,Paris,142,https://www.senat.fr/senateur/brossat_ian21088q.html,https://www.senat.fr/senimg/brossat_ian21088q_carre.jpg,Ian Brossat,-0.6972727272115975,-0.2326214126330967,18,3,0.11764705882352941,-0.6452922563535086,-0.0966530075928479,0.06241280948806662,proche,TRUE,FALSE,882,477,296,75,34,0.08503401360544217,0.03854875283446712,0.8764172335600907,773,769,4,0.9948253557567918,0.4252341434091383,72,1,15
21089R,-0.8220775662662024,0.04475016243775676,Brossel,Colombe,SOC,SER,Paris,187,https://www.senat.fr/senateur/brossel_colombe21089r.html,https://www.senat.fr/senimg/brossel_colombe21089r_carre.jpg,Colombe Brossel,-0.8220775662662024,0.0793442596414127,65,34,0.515625,-0.8152406676847206,0.050540205999973865,0.0089592291334601,proche,TRUE,FALSE,882,474,275,94,39,0.10657596371882086,0.04421768707482993,0.8492063492063492,749,748,1,0.9986648865153538,0.5500389824637433,34,22.5,11
21090J,0.576105961295101,-0.01868280699760625,Carrère-Gée,Marie-Claire,UMP,Les Républicains,Paris,218,https://www.senat.fr/senateur/carrere_gee_marie_claire21090j.html,https://www.senat.fr/senimg/carrere_gee_marie_claire21090j_carre.jpg,Marie-Claire Carrère-Gée,0.576105961295101,-0.0331255443219969,131,22,0.16153846153846155,0.6571054778305727,-0.024202517789836234,0.08118736900657643,proche,TRUE,FALSE,751,327,399,5,20,0.006657789613848202,0.02663115845539281,0.966711051930759,726,719,7,0.990358126721763,0.8481445450975602,239,21,60
21091K,0.6778260536739243,-0.027698578950218586,Evren,Agnès,UMP,Les Républicains,Paris,34,https://www.senat.fr/senateur/evren_agnes21091k.html,https://www.senat.fr/senimg/evren_agnes21091k_carre.jpg,Agnès Evren,0.6778260536739243,-0.04911095558549395,131,73,0.5538461538461539,0.6571054778305727,-0.024202517789836234,0.021013441101286126,proche,TRUE,FALSE,882,419,459,4,0,0.0045351473922902496,0,0.9954648526077098,878,864,14,0.9840546697038725,0.9498646374763835,290,11,104
21092L,-0.7118683651876231,-0.08290256715538484,Guhl,Antoinette,GEST,GEST,Paris,250,https://www.senat.fr/senateur/guhl_antoinette21092l.html,https://www.senat.fr/senimg/guhl_antoinette21092l_carre.jpg,Antoinette Guhl,-0.7118683651876231,-0.14699036729678164,16,3,0.13333333333333333,-0.6763782480103124,-0.055774603391982806,0.04467073801950998,proche,TRUE,FALSE,882,491,290,69,32,0.0782312925170068,0.036281179138321996,0.8854875283446711,781,781,0,1,0.4398297813851639,65,4.5,5.5
21093M,-0.7569318669820675,-0.091928765612312,Jadot,Yannick,GEST,GEST,Paris,196,https://www.senat.fr/senateur/jadot_yannick21093m.html,https://www.senat.fr/senimg/jadot_yannick21093m_carre.jpg,Yannick Jadot,-0.7569318669820675,-0.16299426527005675,16,1,0,-0.6763782480103124,-0.055774603391982806,0.08829501104422931,proche,TRUE,FALSE,882,491,291,69,31,0.0782312925170068,0.035147392290249435,0.8866213151927438,782,782,0,1,0.4848932831796083,60,4.5,5.5
21094N,-0.7011956847152752,-0.058751457001725106,Souyris,Anne,GEST,GEST,Paris,305,https://www.senat.fr/senateur/souyris_anne21094n.html,https://www.senat.fr/senimg/souyris_anne21094n_carre.jpg,Anne Souyris,-0.7011956847152752,-0.10416925000305871,16,4,0.2,-0.6763782480103124,-0.055774603391982806,0.02499533600531641,proche,TRUE,FALSE,882,491,290,69,32,0.0782312925170068,0.036281179138321996,0.8854875283446711,781,781,0,1,0.42915710091281595,68,4.5,5.5
21095P,0.5883929203823989,-0.034817413211639316,Szpiner,Francis,UMP,Les Républicains,Paris,222,https://www.senat.fr/senateur/szpiner_francis21095p.html,https://www.senat.fr/senimg/szpiner_francis21095p_carre.jpg,Francis Szpiner,0.5883929203823989,-0.06173300214829667,131,26,0.19230769230769232,0.6571054778305727,-0.024202517789836234,0.069527631599849607,proche,TRUE,FALSE,882,408,459,10,5,0.011337868480725623,0.005668934240362812,0.9829931972789115,867,850,17,0.9803921568627451,0.860431504184858,243,66.5,117
21096Q,-0.20789730080124938,0.3879004318659651,Buval,Frédéric,LREM,RDPI,Martinique,200,https://www.senat.fr/senateur/buval_frederic21096q.html,https://www.senat.fr/senimg/buval_frederic21096q_carre.jpg,Frédéric Buval,-0.20789730080124938,0.6877667231666049,19,14,0.7222222222222222,-0.2287700594907271,0.4329764633827035,0.049674144910679244,proche,TRUE,FALSE,882,410,382,84,6,0.09523809523809523,0.006802721088435374,0.8979591836734694,789,756,33,0.9581749049429658,0.06414128300120983,129,15,15
21097R,-0.20640806862452932,0.4427712179376369,Nadille,Solanges,LREM,RDPI,Guadeloupe,199,https://www.senat.fr/senateur/nadille_solanges21097r.html,https://www.senat.fr/senimg/nadille_solanges21097r_carre.jpg,Solanges Nadille,-0.20640806862452932,0.785055350953257,19,15,0.7777777777777778,-0.2287700594907271,0.4329764633827035,0.024413026282935537,proche,TRUE,FALSE,882,402,380,94,6,0.10657596371882086,0.006802721088435374,0.8866213151927438,780,747,33,0.9576923076923077,0.0656305151779299,130,19,16
21125C,0.6678944955914665,-0.04636297897449199,Bellamy,Marie-Jeanne,UMP,Les Républicains,Vienne,67,https://www.senat.fr/senateur/bellamy_marie_jeanne21125c.html,https://www.senat.fr/senimg/bellamy_marie_jeanne21125c_carre.jpg,Marie-Jeanne Bellamy,0.6678944955914665,-0.08220386342995036,131,67,0.5076923076923077,0.6571054778305727,-0.024202517789836234,0.024647290807744294,proche,TRUE,FALSE,726,339,382,4,1,0.005509641873278237,0.0013774104683195593,0.9931129476584022,721,712,9,0.9875173370319001,0.9399330793939258,284,14,84
21404G,-0.5146020909056102,0.1932135193228898,Briante Guillemont,Sophie,RDSE,RDSE,Français établis hors de France (Série 2),120,https://www.senat.fr/senateur/briante_guillemont_sophie21404g.html,https://www.senat.fr/senimg/briante_guillemont_sophie21404g_carre.jpg,Sophie Briante Guillemont,-0.5146020909056102,0.3425771619200174,16,3,0.13333333333333333,-0.43509506406770854,0.18632605781819406,0.07980478959674961,proche,TRUE,FALSE,667,337,224,103,3,0.15442278860569716,0.004497751124437781,0.841079460269865,560,540,20,0.9642857142857143,0.24256350710315094,100,5,11
21415K,0.184300534165883,0.11550532643213587,Housseau,Marie-Lise,UC,UC,Tarn,53,https://www.senat.fr/senateur/housseau_marie_lise21415k.html,https://www.senat.fr/senimg/housseau_marie_lise21415k_carre.jpg,Marie-Lise Housseau,0.184300534165883,0.20479667807116292,59,19,0.3103448275862069,0.19600620103114486,0.09263700079581998,0.02569013340115369,proche,TRUE,FALSE,667,339,303,9,16,0.013493253373313344,0.0239880059970015,0.9625187406296851,641,620,21,0.9672386895475819,0.4563391179683422,173,4,33
21421H,0.18946378554560106,0.12051447487097963,Patru,Anne-Sophie,UC,UC,Ille-et-Vilaine,5,https://www.senat.fr/senateur/patru_anne_sophie21421h.html,https://www.senat.fr/senimg/patru_anne_sophie21421h_carre.jpg,Anne-Sophie Patru,0.18946378554560106,0.21367814693436107,59,20,0.3275862068965517,0.19600620103114486,0.09263700079581998,0.028634887134345092,proche,TRUE,FALSE,649,317,302,10,20,0.015408320493066256,0.030816640986132512,0.9537750385208013,618,602,16,0.9741100323624595,0.46150236934806027,174,6,29
21460Q,-0.6279437590483855,-0.1497059240696224,Basquin,Alexandre,CRC,CRCE-K,Nord,14,https://www.senat.fr/senateur/basquin_alexandre21460q.html,https://www.senat.fr/senimg/basquin_alexandre21460q_carre.jpg,Alexandre Basquin,-0.6279437590483855,-0.2654360355844369,18,12,0.6470588235294118,-0.6452922563535086,-0.0966530075928479,0.055817401457229056,proche,TRUE,FALSE,639,315,219,74,31,0.11580594679186229,0.048513302034428794,0.8356807511737089,534,519,15,0.9719101123595506,0.3559051752459263,91,17,17
21486B,0.7580383863420567,-0.07233778799826009,Margueritte,David,UMP,Les Républicains,Manche,102,https://www.senat.fr/senateur/margueritte_david21486b.html,https://www.senat.fr/senimg/margueritte_david21486b_carre.jpg,David Margueritte,0.7580383863420567,-0.1282584893586172,131,116,0.8846153846153846,0.6571054778305727,-0.024202517789836234,0.11182332609355514,intermédiaire,FALSE,FALSE,456,210,244,2,0,0.0043859649122807015,0,0.9956140350877193,454,442,12,0.973568281938326,1.0300769701445158,333,10,126
21510H,0.554885211182583,-0.023423103718797286,Séné,Marc,UMP,Les Républicains,Bas-Rhin,139,https://www.senat.fr/senateur/sene_marc21510h.html,https://www.senat.fr/senimg/sene_marc21510h_carre.jpg,Marc Séné,0.554885211182583,-0.041530325742548384,131,15,0.1076923076923077,0.6571054778305727,-0.024202517789836234,0.1022232380619996,intermédiaire,FALSE,FALSE,300,130,169,1,0,0.0033333333333333335,0,0.9966666666666667,299,296,3,0.9899665551839465,0.8269237949850423,232,4,63
21512K,-0.7204382448409867,0.0629584048290682,Matray,Paulette,SOC,SER,Saône-et-Loire,148,https://www.senat.fr/senateur/matray_paulette21512k.html,https://www.senat.fr/senimg/matray_paulette21512k_carre.jpg,Paulette Matray,-0.7204382448409867,0.1116283773565039,65,61,0.9375,-0.8152406676847206,0.050540205999973865,0.09561229543945188,proche,TRUE,FALSE,300,183,94,21,2,0.07,0.006666666666666667,0.9233333333333333,277,277,0,1,0.4483996610385275,63,1,1.5
21514M,0.18298220221819309,0.10899297746324739,Bessin-Guérin,Marie-Pierre,RTLI,Les Indépendants,Loire-Atlantique,309,https://www.senat.fr/senateur/bessin_guerin_marie_pierre21514m.html,https://www.senat.fr/senimg/bessin_guerin_marie_pierre21514m_carre.jpg,Marie-Pierre Bessin-Guérin,0.18298220221819309,0.1932499600412188,20,16,0.7894736842105263,0.1570127359444524,0.11715489670009958,0.0272218681242095,proche,TRUE,FALSE,300,117,140,43,0,0.14333333333333334,0,0.8566666666666667,257,256,1,0.9961089494163424,0.4550207860206523,172,20,1
21534R,0.6408929471813382,0.0056913639668598245,Mouton,Marie-Pierre,UMP,Les Républicains,Drôme,333,https://www.senat.fr/senateur/mouton_marie_pierre21534r.html,https://www.senat.fr/senimg/mouton_marie_pierre21534r_carre.jpg,Marie-Pierre Mouton,0.6408929471813382,0.01009107086322664,131,54,0.4076923076923077,0.6571054778305727,-0.024202517789836234,0.03400720977286574,proche,TRUE,FALSE,296,125,165,2,4,0.006756756756756757,0.013513513513513514,0.9797297297297297,290,289,1,0.996551724137931,0.9129315309837973,271,22,14
21584C,0.40518909045397855,0.07712119466742469,Boileau,Pierre,UMP,Les Républicains,Meurthe-et-Moselle,89,https://www.senat.fr/senateur/boileau_pierre21584c.html,https://www.senat.fr/senimg/boileau_pierre21584c_carre.jpg,Pierre Boileau,0.40518909045397855,0.136739706857136,131,2,0.007692307692307693,0.6571054778305727,-0.024202517789836234,0.27152966860915206,éloigné,FALSE,TRUE,74,29,39,0,6,0,0.08108108108108109,0.918918918918919,68,68,0,1,0.6772276742564378,217,1.5,1.5
21592C,0.47244286982990996,0.024046319310830625,Paire,Sandra,UMP,Les Républicains,Alpes-Maritimes,347,https://www.senat.fr/senateur/paire_sandra21592c.html,https://www.senat.fr/senimg/paire_sandra21592c_carre.jpg,Sandra Paire,0.47244286982990996,0.04263531792700466,131,6,0.038461538461538464,0.6571054778305727,-0.024202517789836234,0.19086180622422372,intermédiaire,FALSE,FALSE,68,29,39,0,0,0,0,1,68,68,0,1,0.7444814536323692,223,1.5,1.5
86034E,0.6553407427052386,-0.04799853581165948,Larcher,Gérard,UMP,Les Républicains,Yvelines,9,https://www.senat.fr/senateur/larcher_gerard86034e.html,https://www.senat.fr/senimg/larcher_gerard86034e_carre.jpg,Gérard Larcher,0.6553407427052386,-0.08510378690010546,131,62,0.46923076923076923,0.6571054778305727,-0.024202517789836234,0.023861365504880997,proche,TRUE,FALSE,4623,442,358,32,3791,0.006921912178239239,0.8200302833657798,0.17304780445598097,800,798,2,0.9975,0.9273793265076977,279,28,9
95041E,0.6084914762697301,-0.018844118206421175,Joyandet,Alain,UMP,Les Républicains,Haute-Saône,126,https://www.senat.fr/senateur/joyandet_alain95041e.html,https://www.senat.fr/senimg/joyandet_alain95041e_carre.jpg,Alain Joyandet,0.6084914762697301,-0.03341155710358365,131,32,0.23846153846153847,0.6571054778305727,-0.024202517789836234,0.04890842048004771,proche,TRUE,FALSE,2972,1281,1559,73,59,0.02456258411843876,0.019851951547779273,0.955585464333782,2840,2811,29,0.9897887323943662,0.8805300600721893,249,129,64
99004R,0.6494529701786481,-0.02273470536979138,Karoutchi,Roger,UMP,Les Républicains,Hauts-de-Seine,31,https://www.senat.fr/senateur/karoutchi_roger99004r.html,https://www.senat.fr/senimg/karoutchi_roger99004r_carre.jpg,Roger Karoutchi,0.6494529701786481,-0.04030976129395635,131,59,0.4461538461538462,0.6571054778305727,-0.024202517789836234,0.007792005304361805,proche,TRUE,FALSE,3804,1692,1858,70,184,0.01840168243953733,0.048370136698212406,0.9332281808622502,3550,3526,24,0.9932394366197184,0.9214915539811073,276,118,29
