matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw,group_members,rank_left_to_right,percentile_left_to_right,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,distance_to_samantha_1d,ideal_rank_left_to_right,rank_abstention_in_group,rank_most_loyal_in_group
21041Y,-0.44146300542598055,0.1843347176771308,Daubet,Raphaël,RDSE,RDSE,Lot,119,https://www.senat.fr/senateur/daubet_raphael21041y.html,https://www.senat.fr/senimg/daubet_raphael21041y_carre.jpg,Raphaël Daubet,-0.44146300542598055,0.32683460581051565,16,10,0.6,-0.43509506406770854,0.18632605781819406,0.006672039620670803,proche,TRUE,FALSE,882,440,269,170,3,0.1927437641723356,0.003401360544217687,0.8038548752834467,706,699,7,0.990084985835694,0.16942442162352134,108,15,3
21042A,0.10630632034930598,0.09329305205074664,Antoine,Jocelyne,UC,UC,Meuse,212,https://www.senat.fr/senateur/antoine_jocelyne21042a.html,https://www.senat.fr/senimg/antoine_jocelyne21042a_carre.jpg,Jocelyne Antoine,0.10630632034930598,0.16541321285593377,59,7,0.10344827586206896,0.19600620103114486,0.09263700079581998,0.08970227977919637,proche,TRUE,FALSE,882,438,406,18,20,0.02040816326530612,0.022675736961451247,0.9569160997732427,843,783,60,0.9288256227758007,0.3783449041517652,153,8.5,54
21043B,0.08083465076980517,0.19019960446320386,Bitz,Olivier,UC,UC,Orne,323,https://www.senat.fr/senateur/bitz_olivier21043b.html,https://www.senat.fr/senimg/bitz_olivier21043b_carre.jpg,Olivier Bitz,0.08083465076980517,0.33723334124681537,59,4,0.05172413793103448,0.19600620103114486,0.09263700079581998,0.15094021208398814,intermédiaire,FALSE,FALSE,882,392,414,33,43,0.03741496598639456,0.048752834467120185,0.9138321995464853,805,739,66,0.9180124223602485,0.3528732345722644,142,43,56
21044C,0.6199004612177913,-0.03408250766179173,Josende,Lauriane,UMP,Les Républicains,Pyrénées-Orientales,90,https://www.senat.fr/senateur/josende_lauriane21044c.html,https://www.senat.fr/senimg/josende_lauriane21044c_carre.jpg,Lauriane Josende,0.6199004612177913,-0.06042997812374421,131,41,0.3076923076923077,0.6571054778305727,-0.024202517789836234,0.03849451208974189,proche,TRUE,FALSE,882,414,458,6,4,0.006802721088435374,0.0045351473922902496,0.9886621315192744,872,865,7,0.9919724770642202,0.8919390450202505,258,24.5,50
21045D,-0.7062753582287156,0.030353004599824557,Canalès,Marion,SOC,SER,Puy-de-Dôme,239,https://www.senat.fr/senateur/canales_marion21045d.html,https://www.senat.fr/senimg/canales_marion21045d_carre.jpg,Marion Canalès,-0.7062753582287156,0.05381738404224213,65,63,0.96875,-0.8152406676847206,0.050540205999973865,0.11081950083452428,intermédiaire,FALSE,FALSE,882,482,273,92,35,0.10430839002267574,0.03968253968253968,0.8560090702947846,755,747,8,0.9894039735099338,0.43423677442625636,67,10,60
21046E,0.11016893846060952,0.12200593484927678,Bourcier,Corinne,RTLI,Les Indépendants,Maine-et-Loire,253,https://www.senat.fr/senateur/bourcier_corinne21046e.html,https://www.senat.fr/senimg/bourcier_corinne21046e_carre.jpg,Corinne Bourcier,0.11016893846060952,0.2163225795199943,20,11,0.5263157894736842,0.1570127359444524,0.11715489670009958,0.047094308932524497,proche,TRUE,FALSE,882,389,401,82,10,0.09297052154195011,0.011337868480725623,0.8956916099773242,788,783,5,0.9936548223350253,0.38220752226306876,156,8,3
21047F,0.7226117326519994,-0.04555692380523216,Pernot,Clément,UMP,Les Républicains,Jura,288,https://www.senat.fr/senateur/pernot_clement21047f.html,https://www.senat.fr/senimg/pernot_clement21047f_carre.jpg,Clément Pernot,0.7226117326519994,-0.08077468759792937,131,105,0.8,0.6571054778305727,-0.024202517789836234,0.06889905715610385,proche,TRUE,FALSE,882,412,465,3,2,0.003401360544217687,0.0022675736961451248,0.9943310657596371,877,871,6,0.9931584948688712,0.9946503164544587,322,6.5,32.5
21048G,-0.6880820194326589,-0.04841482086899516,Blanc,Grégory,GEST,GEST,Maine-et-Loire,198,https://www.senat.fr/senateur/blanc_gregory21048g.html,https://www.senat.fr/senimg/blanc_gregory21048g_carre.jpg,Grégory Blanc,-0.6880820194326589,-0.08584188097339568,16,7,0.4,-0.6763782480103124,-0.055774603391982806,0.013825507740846564,proche,TRUE,FALSE,882,495,283,71,33,0.08049886621315193,0.03741496598639456,0.8820861678004536,778,776,2,0.9974293059125964,0.4160434356301997,73,8,16
21049H,-0.6973204214519696,-0.14738154825897454,Silvani,Silvana,CRC,CRCE-K,Meurthe-et-Moselle,105,https://www.senat.fr/senateur/silvani_silvana21049h.html,https://www.senat.fr/senimg/silvani_silvana21049h_carre.jpg,Silvana Silvani,-0.6973204214519696,-0.26131480187761447,18,2,0.058823529411764705,-0.6452922563535086,-0.0966530075928479,0.07266577462346065,proche,TRUE,FALSE,882,476,295,78,33,0.08843537414965986,0.03741496598639456,0.8741496598639455,771,770,1,0.9987029831387808,0.4252818376495104,71,4.5,6
21050A,0.24142524722163586,0.0882795182294809,Bleunven,Yves,UC,UC,Morbihan,55,https://www.senat.fr/senateur/bleunven_yves21050a.html,https://www.senat.fr/senimg/bleunven_yves21050a_carre.jpg,Yves Bleunven,0.24142524722163586,0.1565239684919874,59,49,0.8275862068965517,0.19600620103114486,0.09263700079581998,0.04562759484314185,proche,TRUE,FALSE,882,414,417,18,33,0.02040816326530612,0.03741496598639456,0.9421768707482994,830,817,13,0.9843373493975903,0.5134638310240951,204,8.5,6
