dimension,coordinate_multiplier,source
Dimension 1,1,notebook cell 14 output (senat_ideal_point_model_R_simple.ipynb)
Dimension 2,0.564,notebook cell 14 output (senat_ideal_point_model_R_simple.ipynb)
