dimension,classification_errors,correct_share,APRE,positive_APRE,distance_weight,coordinate_multiplier
Dimension 1,35964,0.8993966146641938,0.6256167891570028,0.6256167891570028,0.7875714210829796,0.8874522077740185
Dimension 2,19754,0.9447414282637216,0.7943619745580979,0.7943619745580979,1.0,1.0
