acteur_id,groupe_code,groupe_libelle_court,nom,prenom,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share
PA721996,MODEM,MODEM,Loiseau,Patrick,189,54,135,0,0,0,0,1
PA721996,NI,NI,Loiseau,Patrick,2,2,0,0,0,0,0,1
PA722000,LAREM,LaREM,Buchou,Stéphane,1225,441,772,12,0,0.009795918367346938,0,0.990204081632653
PA722008,LAREM,LaREM,Leguille-Balloy,Martine,743,303,435,5,0,0.006729475100942127,0,0.9932705248990579
PA722022,LAREM,LaREM,Romeiro Dias,Laëtitia,881,376,494,11,0,0.012485811577752554,0,0.9875141884222475
PA722030,AGIR-E,Agir ens,Bournazel,Pierre-Yves,353,228,115,10,0,0.028328611898016998,0,0.9716713881019831
PA722030,LC,LC,Bournazel,Pierre-Yves,88,48,21,19,0,0.2159090909090909,0,0.7840909090909091
PA722030,UDI-A-I,UDI-AGIR,Bournazel,Pierre-Yves,36,28,5,3,0,0.08333333333333333,0,0.9166666666666666
PA722030,UDI-AGIR,UDI-AGIR,Bournazel,Pierre-Yves,202,124,45,33,0,0.16336633663366337,0,0.8366336633663366
PA722030,UDI-I,UDI-I,Bournazel,Pierre-Yves,18,13,1,4,0,0.2222222222222222,0,0.7777777777777778
PA722038,LAREM,LaREM,Adam,Damien,971,398,554,19,0,0.01956745623069001,0,0.98043254376931
PA722046,LAREM,LaREM,Bergé,Aurore,1204,481,705,18,0,0.014950166112956811,0,0.9850498338870431
PA722054,LAREM,LaREM,Hai,Nadia,772,252,514,6,0,0.007772020725388601,0,0.9922279792746114
PA722062,LAREM,LaREM,Granjus,Florence,1005,383,582,40,0,0.03980099502487562,0,0.9601990049751243
PA722070,LAREM,LaREM,Henriet,Pierre,731,297,420,14,0,0.019151846785225718,0,0.9808481532147743
PA722078,LAREM,LaREM,Savatier,Jacques,226,117,102,7,0,0.030973451327433628,0,0.9690265486725663
PA722082,LAREM,LaREM,Ballet-Blu,Françoise,377,183,192,2,0,0.005305039787798408,0,0.9946949602122016
PA722086,LAREM,LaREM,Taquet,Adrien,416,136,277,2,1,0.004807692307692308,0.002403846153846154,0.9927884615384616
PA722090,LAREM,LaREM,Pételle,Bénédicte,783,373,405,5,0,0.006385696040868455,0,0.9936143039591315
PA722094,LAREM,LaREM,Hennion,Christine,1348,509,829,10,0,0.00741839762611276,0,0.9925816023738873
PA722102,LAREM,LaREM,Vidal,Annie,913,381,524,8,0,0.008762322015334063,0,0.9912376779846659
PA722110,GDR,GDR,Wulfranc,Hubert,925,583,246,96,0,0.10378378378378378,0,0.8962162162162162
PA722118,LAREM,LaREM,Sylla,Sira,402,210,187,5,0,0.012437810945273632,0,0.9875621890547264
PA722126,EDS,EDS,Chiche,Guillaume,68,43,23,2,0,0.029411764705882353,0,0.9705882352941176
PA722126,LAREM,LaREM,Chiche,Guillaume,334,135,193,6,0,0.017964071856287425,0,0.9820359281437125
PA722126,NI,NI,Chiche,Guillaume,221,155,60,6,0,0.027149321266968326,0,0.9728506787330317
PA722134,LAREM,LaREM,Fiévet,Jean-Marie,933,381,549,3,0,0.003215434083601286,0,0.9967845659163987
PA722142,FI,FI,Ruffin,François,705,436,214,55,0,0.07801418439716312,0,0.9219858156028369
PA722150,LAREM,LaREM,Houlié,Sacha,1057,372,615,9,61,0.008514664143803218,0.05771050141911069,0.9337748344370861
PA722162,DEM,Dem,Turquois,Nicolas,592,263,306,23,0,0.03885135135135135,0,0.9611486486486487
PA722162,MODEM,MODEM,Turquois,Nicolas,608,189,413,6,0,0.009868421052631578,0,0.9901315789473685
PA722170,LAREM,LaREM,Beaudouin-Hubiere,Sophie,1626,553,1039,34,0,0.020910209102091022,0,0.9790897908979089
PA722178,LAREM,LaREM,Maire,Jacques,556,226,328,2,0,0.0035971223021582736,0,0.9964028776978417
PA722190,LAREM,LaREM,Attal,Gabriel,268,100,167,1,0,0.0037313432835820895,0,0.996268656716418
PA722194,LAREM,LaREM,Provendier,Florence,983,481,487,15,0,0.015259409969481181,0,0.9847405900305188
PA722202,GDR,GDR,Jumel,Sébastien,1041,723,253,65,0,0.06243996157540826,0,0.9375600384245918
PA722218,LAREM,LaREM,Delpirou,Cécile,386,172,212,2,0,0.0051813471502590676,0,0.9948186528497409
PA722228,LAREM,LaREM,Leclabart,Jean-Claude,1376,529,810,37,0,0.02688953488372093,0,0.9731104651162791
PA722236,LAREM,LaREM,Djebbari,Jean-Baptiste,269,101,168,0,0,0,0,1
PA722240,LAREM,LaREM,Venteau,Pierre,499,225,271,3,0,0.006012024048096192,0,0.9939879759519038
PA722244,LAREM,LaREM,Magne,Marie-Ange,678,292,377,9,0,0.01327433628318584,0,0.9867256637168141
PA722252,LAREM,LaREM,Rixain,Marie-Pierre,660,234,422,4,0,0.006060606060606061,0,0.9939393939393939
PA722260,EDS,EDS,Villani,Cédric,67,46,17,4,0,0.05970149253731343,0,0.9402985074626866
