acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA1008,-0.1359325380025471,-0.5060128940596871,David,Alain,PO758835,SOC,Socialistes et apparentés,SOC,M.,ADA,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,#D46CA9,Opposition,Alain David
PA1012,0.4123338387504545,-0.5452304790159574,de la Verpillière,Charles,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Ain,Conseiller d'État,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Charles de la Verpillière
PA1029,0.2465060049978293,-0.2869937102707101,Deflesselles,Bernard,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",9,Bouches-du-Rhône,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Bernard Deflesselles
PA1198,-0.1647765283338559,-0.4575811340410577,Dumont,Laurence,PO758835,SOC,Socialistes et apparentés,SOC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Calvados,Chargée d'études,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#D46CA9,Opposition,Laurence Dumont
PA1206,-0.0245483043706196,-0.3859055429800697,Dupont-Aignan,Nicolas,PO723569,NI,Non inscrit,NI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Essonne,Administrateur de l'Etat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#8D949A,,Nicolas Dupont-Aignan
PA1276,0.071807424181632,0.3641771149513613,Fanget,Michel,PO730970,MODEM,Mouvement Démocrate et apparentés,MODEM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Puy-de-Dôme,Cardiologue,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F26D22,Minoritaire,Michel Fanget
PA1327,0.2399960338781667,-0.1697439688912988,Forissier,Nicolas,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Indre,Chef d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Nicolas Forissier
PA1498,0.3506648450003033,-0.0761209059875187,Goasguen,Claude,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",14,Paris,Avocat à la Cour d'appel de Paris,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Claude Goasguen
PA1592,-0.0801893670530342,-0.3787855975284462,Habib,David,PO758835,SOC,Socialistes et apparentés,SOC,M.,DHA,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,#D46CA9,Opposition,David Habib
PA1630,0.323706907780422,-0.3760920034049951,Herbillon,Michel,PO730934,LR,Les Républicains,LR,M.,MHR,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,#1C2EFA,Opposition,Michel Herbillon
PA1695,0.3552855146977429,-0.3520416258054958,Jacob,Christian,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Seine-et-Marne,Agriculteur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Christian Jacob
PA1809,-0.1377457359439176,-0.4119605132423322,Lambert,Jérôme,PO758835,SOC,Socialistes et apparentés,SOC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Charente,Cadre de l'industrie,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#D46CA9,Opposition,Jérôme Lambert
PA1838,0.0110724444103127,-0.2061544336350846,Lassalle,Jean,PO759900,LT,Libertés et Territoires,LT,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Pyrénées-Atlantiques,Technicien agricole,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#66BF74,Opposition,Jean Lassalle
PA1874,0.409827929164617,-0.5260827837997774,Le Fur,Marc,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Côtes-d'Armor,Sous-préfet,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Marc Le Fur
PA2086,0.2469822608823665,-0.4998143412575267,Marlin,Franck,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Essonne,Grands corps de l'État,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Franck Marlin
PA2150,-0.2391716453244516,-0.5667154214496968,Mélenchon,Jean-Luc,PO730958,FI,La France insoumise,FI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Bouches-du-Rhône,Professeur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#ED302C,Opposition,Jean-Luc Mélenchon
PA2155,0.2615449413555349,-0.3469889781320019,Menuel,Gérard,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Aube,Agriculteur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Gérard Menuel
PA223837,0.2794185606070611,-0.3698035114024532,Brochand,Bernard,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Alpes-Maritimes,Cadre du secteur privé retraité,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Bernard Brochand
PA2377,0.273615163630662,-0.3548553195971445,Perrut,Bernard,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",9,Rhône,Ancien avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Bernard Perrut
PA2449,0.0762778465206765,0.5747664975135846,Pont,Jean-Pierre,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Pas-de-Calais,Médecin,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Jean-Pierre Pont
PA2492,0.2506176671891815,-0.3592442368877248,Quentin,Didier,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Charente-Maritime,Diplomate de carrière (ministre plénipotentiaire en retraite),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Didier Quentin
PA2529,0.3416911034124442,-0.4945755067483643,Reitzer,Jean-Luc,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Haut-Rhin,Cadre d'entreprise chargé des relations sociales,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Jean-Luc Reitzer
PA266774,0.3474321729431797,-0.5069702293439665,Furst,Laurent,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",6,Bas-Rhin,Directeur d'hôpital,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Laurent Furst
PA266776,0.3211545626916788,-0.4257939382398646,Reiss,Frédéric,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Bas-Rhin,Agrégé de mathématiques,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Frédéric Reiss
PA266788,0.099238828586561,-0.0651058556795436,Morel-À-L'Huissier,Pierre,PO744425,UDI-AGIR,"UDI, Agir et Indépendants",UDI-AGIR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Lozère,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Pierre Morel-À-L'Huissier
PA266793,0.3491742938744501,-0.4862972839331702,Bony,Jean-Yves,PO730934,LR,Les Républicains,LR,M.,JBY,2,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,#1C2EFA,Opposition,Jean-Yves Bony
