acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group
PA1001,0.5303938476320595,-0.08470324710755202,Daubresse,Marc-Philippe,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Nord,Ancien directeur d'une société de recrutement,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Marc-Philippe Daubresse,0.5303938476320595,-0.0894318165688273,199,0.46164193442587176,-0.20970772531587795,0.1426637485195416,intermédiaire,False,False,137.0,0.6884422110552764,557.0,27,10,15,2,0,0.074074074074074,0.0,0.925925925925926,25,25,0,1.0,,Opposition,Nord,1953-08-01,153.5,36.5
PA1012,0.5036006814829241,-0.16192869205380786,de la Verpillière,Charles,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Ain,Conseiller d'État,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Charles de la Verpillière,0.5036006814829241,-0.1709683817268336,199,0.46164193442587176,-0.20970772531587795,0.06358751822532235,proche,True,False,130.0,0.6532663316582915,549.0,55,27,25,3,0,0.0545454545454545,0.0,0.9454545454545454,52,50,2,0.9615384615384616,,Opposition,Ain,1954-05-31,104.5,147.0
PA1020,0.2755715908537269,-0.23165405246702994,Debré,Bernard,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",15,Paris,"Chirurgien des hôpitaux, professeur des Universités","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Bernard Debré,0.2755715908537269,-0.2445861691860665,199,0.46164193442587176,-0.20970772531587795,0.1873601185751157,intermédiaire,False,False,12.0,0.06030150753768844,426.0,67,30,33,4,0,0.0597014925373134,0.0,0.9402985074626866,63,57,6,0.9047619047619048,,Opposition,Paris,1944-09-30,121.0,185.0
PA1029,0.6103514758307994,-0.26955846416285156,Deflesselles,Bernard,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",9,Bouches-du-Rhône,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Bernard Deflesselles,0.6103514758307994,-0.2846065994492151,199,0.46164193442587176,-0.20970772531587795,0.1603017112990143,intermédiaire,False,False,164.0,0.8241206030150754,584.0,38,14,21,3,0,0.0789473684210526,0.0,0.9210526315789472,35,34,1,0.9714285714285714,,Opposition,Bouches-du-Rhône,1953-10-16,160.0,119.5
PA1031,0.3486434013491253,-0.1368590584247706,Degauchy,Lucien,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Oise,Horticulteur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Lucien Degauchy,0.3486434013491253,-0.1444992326360915,199,0.46164193442587176,-0.20970772531587795,0.13444551589885056,intermédiaire,False,False,49.0,0.24623115577889448,465.0,32,14,16,2,0,0.0625,0.0,0.9375,30,29,1,0.9666666666666668,,Opposition,Oise,1937-06-11,129.0,136.0
PA1032,-0.227311809008092,0.27295685373505835,Deguilhem,Pascal,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Dordogne,Professeur d'Education physique (Université Bordeaux IV),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Pascal Deguilhem,-0.227311809008092,0.2881947045482452,316,-0.3421714223457844,0.2915641736600459,0.11635705019840888,intermédiaire,False,False,253.0,0.8006329113924051,289.0,14,11,3,0,0,0.0,0.0,1.0,14,14,0,1.0,,Majoritaire,Dordogne,1956-02-09,109.5,94.0
PA1116,-0.3865484878389445,0.21411200437337366,Destot,Michel,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Isère,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Michel Destot,-0.3865484878389445,0.2260648340433723,316,-0.3421714223457844,0.2915641736600459,0.08926456446426854,proche,True,False,94.0,0.2974683544303797,112.0,14,10,4,0,0,0.0,0.0,1.0,14,14,0,1.0,,Majoritaire,Isère,1946-09-02,109.5,94.0
PA1124,0.3317453090750449,-0.4628279147031752,Devedjian,Patrick,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",13,Hauts-de-Seine,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Patrick Devedjian,0.3317453090750449,-0.4886653414609981,199,0.46164193442587176,-0.20970772531587795,0.2845047689459604,éloigné,False,True,37.0,0.18592964824120603,452.0,48,19,27,2,0,0.0416666666666666,0.0,0.9583333333333334,46,39,7,0.8478260869565217,,Opposition,Hauts-de-Seine,1944-08-26,72.0,197.0
PA1141,-0.1787540240199625,-0.34668054046830726,Dolez,Marc,PO656018,GDR,Gauche démocrate et républicaine,GDR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",17,Nord,Maître de conférences,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Minoritaire,Marc Dolez,-0.1787540240199625,-0.3660340253990011,15,-0.2407486590036925,-0.39590140987902156,0.07915825132171952,proche,True,False,10.0,0.6666666666666666,337.0,229,114,92,23,0,0.1004366812227074,0.0,0.8995633187772926,206,199,7,0.9660194174757282,,Minoritaire,Nord,1952-10-21,1.0,9.0
PA1152,0.3409634631099145,-0.19839121505348759,Dord,Dominique,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Savoie,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Dominique Dord,0.3409634631099145,-0.2094664296753787,199,0.46164193442587176,-0.20970772531587795,0.12120790751297998,intermédiaire,False,False,44.0,0.22110552763819097,460.0,44,20,20,4,0,0.0909090909090909,0.0,0.9090909090909092,40,39,1,0.975,,Opposition,Savoie,1959-09-01,174.5,111.5
