dimension,classification_errors,correct_share,APRE,positive_APRE,distance_weight,coordinate_multiplier
Dimension 1,4178,0.9535555876696644,0.8793845087906695,0.8793845087906695,1.0,1.0
Dimension 2,7314,0.9186944873661861,0.788850717399463,0.788850717399463,0.8970486852040312,0.9471265412837037
