acteur_id,nom,prenom,groupe_code,groupe_libelle_court,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate
PA1001,Daubresse,Marc-Philippe,LES-REP,Les Républicains,25,25,0,1
PA1001,Daubresse,Marc-Philippe,UMP,UMP,95,94,1,0.9894736842105263
PA1012,de la Verpillière,Charles,LES-REP,Les Républicains,52,50,2,0.9615384615384616
PA1012,de la Verpillière,Charles,R-UMP,Rassemblement-UMP,1,1,0,1
PA1012,de la Verpillière,Charles,UMP,UMP,103,103,0,1
PA1020,Debré,Bernard,LES-REP,Les Républicains,63,57,6,0.9047619047619048
PA1020,Debré,Bernard,R-UMP,Rassemblement-UMP,1,1,0,1
PA1020,Debré,Bernard,UMP,UMP,105,102,3,0.9714285714285714
PA1029,Deflesselles,Bernard,LES-REP,Les Républicains,35,34,1,0.9714285714285714
PA1029,Deflesselles,Bernard,UMP,UMP,104,104,0,1
PA1031,Degauchy,Lucien,LES-REP,Les Républicains,30,29,1,0.9666666666666667
PA1031,Degauchy,Lucien,UMP,UMP,83,79,4,0.9518072289156626
PA1032,Deguilhem,Pascal,SER,SER,14,14,0,1
PA1032,Deguilhem,Pascal,SRC,SRC,151,149,2,0.9867549668874173
PA1116,Destot,Michel,SER,SER,14,14,0,1
PA1116,Destot,Michel,SRC,SRC,131,126,5,0.9618320610687023
PA1124,Devedjian,Patrick,LES-REP,Les Républicains,46,39,7,0.8478260869565217
PA1124,Devedjian,Patrick,UMP,UMP,103,102,1,0.9902912621359223
PA1141,Dolez,Marc,GDR,GDR,206,199,7,0.9660194174757282
PA1152,Dord,Dominique,LES-REP,Les Républicains,40,39,1,0.975
PA1152,Dord,Dominique,R-UMP,Rassemblement-UMP,1,1,0,1
PA1152,Dord,Dominique,UMP,UMP,103,101,2,0.9805825242718447
PA1155,Dosière,René,SER,SER,26,25,1,0.9615384615384616
PA1155,Dosière,René,SRC,SRC,173,169,4,0.976878612716763
PA1182,Dufau,Jean-Pierre,SER,SER,27,27,0,1
PA1182,Dufau,Jean-Pierre,SRC,SRC,130,125,5,0.9615384615384616
PA1193,Dumas,William,SER,SER,29,29,0,1
PA1193,Dumas,William,SRC,SRC,179,175,4,0.9776536312849162
PA1198,Dumont,Laurence,SER,SER,17,17,0,1
PA1198,Dumont,Laurence,SRC,SRC,139,131,8,0.9424460431654677
PA1199,Dumont,Jean-Louis,SER,SER,30,30,0,1
PA1199,Dumont,Jean-Louis,SRC,SRC,174,166,8,0.9540229885057471
PA1206,Dupont-Aignan,Nicolas,NI,NI,113,96,17,0.8495575221238938
PA1208,Dupré,Jean-Paul,SER,SER,11,11,0,1
PA1208,Dupré,Jean-Paul,SRC,SRC,137,136,1,0.9927007299270073
PA1214,Durand,Yves,SER,SER,24,24,0,1
PA1214,Durand,Yves,SRC,SRC,189,189,0,1
PA1226,Duron,Philippe,SER,SER,26,26,0,1
PA1226,Duron,Philippe,SRC,SRC,149,146,3,0.9798657718120806
PA1243,Eckert,Christian,SRC,SRC,65,65,0,1
PA1252,Emmanuelli,Henri,SER,SER,11,11,0,1
PA1252,Emmanuelli,Henri,SRC,SRC,122,111,11,0.9098360655737705
PA1263,Estrosi,Christian,LES-REP,Les Républicains,16,15,1,0.9375
PA1263,Estrosi,Christian,R-UMP,Rassemblement-UMP,1,1,0,1
PA1263,Estrosi,Christian,UMP,UMP,95,92,3,0.968421052631579
PA1310,Fillon,François,LES-REP,Les Républicains,36,35,1,0.9722222222222222
PA1310,Fillon,François,R-UMP,Rassemblement-UMP,1,1,0,1
PA1310,Fillon,François,UMP,UMP,103,103,0,1
PA1353,Françaix,Michel,SER,SER,25,23,2,0.92
PA1353,Françaix,Michel,SRC,SRC,122,120,2,0.9836065573770492
PA1362,Franqueville,Christian,SER,SER,27,26,1,0.9629629629629629
PA1362,Franqueville,Christian,SRC,SRC,154,153,1,0.9935064935064936
PA1364,Fraysse,Jacqueline,GDR,GDR,217,216,1,0.9953917050691244
PA1373,Fritch,Édouard,UDI,UDI,38,35,3,0.9210526315789473
PA1379,Fromion,Yves,LES-REP,Les Républicains,56,55,1,0.9821428571428571
PA1379,Fromion,Yves,UMP,UMP,113,112,1,0.9911504424778761
PA1401,Galut,Yann,SER,SER,22,19,3,0.8636363636363636
PA1401,Galut,Yann,SRC,SRC,130,123,7,0.9461538461538461
PA1445,Gaymard,Hervé,LES-REP,Les Républicains,39,38,1,0.9743589743589743
PA1445,Gaymard,Hervé,R-UMP,Rassemblement-UMP,1,1,0,1
PA1445,Gaymard,Hervé,UMP,UMP,131,129,2,0.9847328244274809
PA1459,Gérard,Bernard,LES-REP,Les Républicains,68,66,2,0.9705882352941176
PA1459,Gérard,Bernard,UMP,UMP,122,121,1,0.9918032786885246
PA1466,Gest,Alain,LES-REP,Les Républicains,38,38,0,1
PA1466,Gest,Alain,UMP,UMP,95,95,0,1
PA1477,Ginesta,Jordi,LES-REP,Les Républicains,28,27,1,0.9642857142857143
PA1477,Ginesta,Jordi,R-UMP,Rassemblement-UMP,1,1,0,1
PA1477,Ginesta,Jordi,UMP,UMP,100,100,0,1
PA1483,Giran,Jean-Pierre,LES-REP,Les Républicains,28,27,1,0.9642857142857143
PA1483,Giran,Jean-Pierre,R-UMP,Rassemblement-UMP,1,1,0,1
PA1483,Giran,Jean-Pierre,UMP,UMP,96,96,0,1
PA1496,Glavany,Jean,SER,SER,16,16,0,1
PA1496,Glavany,Jean,SRC,SRC,137,136,1,0.9927007299270073
PA1498,Goasguen,Claude,LES-REP,Les Républicains,46,46,0,1
PA1498,Goasguen,Claude,UMP,UMP,93,90,3,0.967741935483871
PA1521,Goujon,Philippe,LES-REP,Les Républicains,62,61,1,0.9838709677419355
PA1521,Goujon,Philippe,UMP,UMP,105,104,1,0.9904761904761905
PA1567,Guedj,Jérôme,SRC,SRC,65,64,1,0.9846153846153847
PA1574,Guibal,Jean-Claude,LES-REP,Les Républicains,45,44,1,0.9777777777777777
PA1574,Guibal,Jean-Claude,R-UMP,Rassemblement-UMP,1,1,0,1
PA1574,Guibal,Jean-Claude,UMP,UMP,102,102,0,1
PA1579,Guigou,Élisabeth,SER,SER,14,14,0,1
PA1579,Guigou,Élisabeth,SRC,SRC,156,156,0,1
PA1585,Guillet,Jean-Jacques,LES-REP,Les Républicains,53,47,6,0.8867924528301887
PA1585,Guillet,Jean-Jacques,R-UMP,Rassemblement-UMP,1,1,0,1
PA1585,Guillet,Jean-Jacques,UMP,UMP,103,101,2,0.9805825242718447
PA1592,Habib,David,SER,SER,26,26,0,1
PA1592,Habib,David,SRC,SRC,145,141,4,0.9724137931034482
PA1630,Herbillon,Michel,LES-REP,Les Républicains,36,36,0,1
PA1630,Herbillon,Michel,UMP,UMP,100,100,0,1
PA1661,Houillon,Philippe,LES-REP,Les Républicains,57,51,6,0.8947368421052632
PA1661,Houillon,Philippe,R-UMP,Rassemblement-UMP,1,1,0,1
PA1661,Houillon,Philippe,UMP,UMP,112,112,0,1
PA1689,Imbert,Françoise,SER,SER,17,17,0,1
PA1689,Imbert,Françoise,SRC,SRC,171,170,1,0.9941520467836257
PA1695,Jacob,Christian,LES-REP,Les Républicains,70,70,0,1
PA1695,Jacob,Christian,UMP,UMP,140,140,0,1
PA1699,Jacquat,Denis,LES-REP,Les Républicains,46,45,1,0.9782608695652174
PA1699,Jacquat,Denis,UMP,UMP,119,116,3,0.9747899159663865
PA1710,Janquin,Serge,SER,SER,11,11,0,1
PA1710,Janquin,Serge,SRC,SRC,153,147,6,0.9607843137254902
PA1748,Jung,Armand,SRC,SRC,117,116,1,0.9914529914529915
PA1761,Kert,Christian,LES-REP,Les Républicains,64,64,0,1
PA1761,Kert,Christian,UMP,UMP,109,109,0,1
PA1770,Kossowski,Jacques,LES-REP,Les Républicains,32,32,0,1
PA1770,Kossowski,Jacques,UMP,UMP,102,102,0,1
PA1778,Labaune,Patrick,LES-REP,Les Républicains,26,26,0,1
PA1778,Labaune,Patrick,UMP,UMP,82,81,1,0.9878048780487805
PA1789,Lacuey,Conchita,SER,SER,13,13,0,1
PA1789,Lacuey,Conchita,SRC,SRC,134,133,1,0.9925373134328358
PA1790,Laffineur,Marc,LES-REP,Les Républicains,26,25,1,0.9615384615384616
PA1790,Laffineur,Marc,UMP,UMP,112,110,2,0.9821428571428571
PA1809,Lambert,Jérôme,RRDP,RRDP,68,61,7,0.8970588235294118
PA1809,Lambert,Jérôme,SRC,SRC,48,46,2,0.9583333333333334
PA1816,Lamy,François,SER,SER,13,13,0,1
PA1816,Lamy,François,SRC,SRC,70,60,10,0.8571428571428571
