groupe_code,groupe_libelle_court,deputies,average_dim1,median_dim1,min_dim1,max_dim1
ECOLO,Écolo,18,-0.48064959884772634,-0.5006174729126316,-0.6547697200724263,-0.2487959087554154
SRC,SRC,316,-0.3421714223457844,-0.3158583347973853,-0.8797488542233002,-0.1080170184459113
SER,SER,7,-0.34210087207173556,-0.3083935927850769,-0.6154800248735315,-0.2103598693367578
GDR,GDR,15,-0.2407486590036925,-0.2379994612719043,-0.4112753590708071,-0.0248189038088712
RRDP,RRDP,19,-0.11236614906604454,-0.0944524763778744,-0.4123670751941566,0.0888985704052124
NI,NI,8,0.07155870728735857,0.12117629382662135,-0.4717493300844496,0.2409291785559703
UDI,UDI,32,0.16292705168217927,0.16137904242135276,0.0600482578943361,0.2961032959710875
UMP,UMP,199,0.46164193442587176,0.4203321133377705,0.0697167578965464,0.996828396771487
LES-REP,Les Républicains,7,0.5190423338945253,0.4286080614765745,0.3380329891132447,0.9477218895755212
