acteur_id,groupe_code,groupe_libelle_court,nom,prenom,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share
PA1001,LES-REP,Les Républicains,Daubresse,Marc-Philippe,27,10,15,2,0,0.07407407407407407,0,0.9259259259259259
PA1001,UMP,UMP,Daubresse,Marc-Philippe,102,9,86,7,0,0.06862745098039216,0,0.9313725490196079
PA1012,LES-REP,Les Républicains,de la Verpillière,Charles,55,27,25,3,0,0.05454545454545454,0,0.9454545454545454
PA1012,R-UMP,Rassemblement-UMP,de la Verpillière,Charles,1,0,1,0,0,0,0,1
PA1012,UMP,UMP,de la Verpillière,Charles,107,15,88,4,0,0.037383177570093455,0,0.9626168224299065
PA1020,LES-REP,Les Républicains,Debré,Bernard,67,30,33,4,0,0.05970149253731343,0,0.9402985074626866
PA1020,R-UMP,Rassemblement-UMP,Debré,Bernard,1,0,1,0,0,0,0,1
PA1020,UMP,UMP,Debré,Bernard,110,15,90,5,0,0.045454545454545456,0,0.9545454545454546
PA1029,LES-REP,Les Républicains,Deflesselles,Bernard,38,14,21,3,0,0.07894736842105263,0,0.9210526315789473
PA1029,UMP,UMP,Deflesselles,Bernard,111,14,90,7,0,0.06306306306306306,0,0.9369369369369369
PA1031,LES-REP,Les Républicains,Degauchy,Lucien,32,14,16,2,0,0.0625,0,0.9375
PA1031,UMP,UMP,Degauchy,Lucien,84,8,75,1,0,0.011904761904761904,0,0.9880952380952381
PA1032,SER,SER,Deguilhem,Pascal,14,11,3,0,0,0,0,1
PA1032,SRC,SRC,Deguilhem,Pascal,155,127,24,4,0,0.025806451612903226,0,0.9741935483870968
PA1116,SER,SER,Destot,Michel,14,10,4,0,0,0,0,1
PA1116,SRC,SRC,Destot,Michel,131,122,9,0,0,0,0,1
PA1124,LES-REP,Les Républicains,Devedjian,Patrick,48,19,27,2,0,0.041666666666666664,0,0.9583333333333334
PA1124,UMP,UMP,Devedjian,Patrick,107,18,85,4,0,0.037383177570093455,0,0.9626168224299065
PA1141,GDR,GDR,Dolez,Marc,229,114,92,23,0,0.10043668122270742,0,0.8995633187772926
PA1152,LES-REP,Les Républicains,Dord,Dominique,44,20,20,4,0,0.09090909090909091,0,0.9090909090909091
PA1152,R-UMP,Rassemblement-UMP,Dord,Dominique,1,0,1,0,0,0,0,1
PA1152,UMP,UMP,Dord,Dominique,107,18,85,4,0,0.037383177570093455,0,0.9626168224299065
PA1155,SER,SER,Dosière,René,26,15,11,0,0,0,0,1
PA1155,SRC,SRC,Dosière,René,174,133,40,1,0,0.005747126436781609,0,0.9942528735632183
PA1182,SER,SER,Dufau,Jean-Pierre,27,16,11,0,0,0,0,1
