dimension,classification_errors,correct_share,APRE,positive_APRE,distance_weight,coordinate_multiplier
Dimension 1,48326,0.9520553517323211,0.8626005419098769,0.8626005419098769,1.0,1.0
Dimension 2,194856,0.8066816541231048,0.4459895541611343,0.4459895541611343,0.5170290679086201,0.7190473335661708
