acteur_id,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique
PA840817,Bruneau,Joël,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,JBR,1,Calvados,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/bruneau-joel,#FFD96F,
PA840829,Barusseau,Fabrice,PO845419,SOC,Socialistes et apparentés,SOC,M.,FBA,3,Charente-Maritime,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/barusseau-fabrice-27458,#F5B4CE,
PA840837,Markowsky,Pascal,PO845401,RN,Rassemblement National,RN,M.,PMA,4,Charente-Maritime,"(72) - Ancien artisan, commerçant, chef d'entreprise",https://www.hatvp.fr/pages_nominatives/markowsky-pascal-27495,#313567,
PA840857,Lechon,Nadine,PO845401,RN,Rassemblement National,RN,Mme,NLE,1,Dordogne,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/lechon-nadine-27468,#313567,
PA840869,Joubert,Florence,PO845401,RN,Rassemblement National,RN,Mme,FJU,3,Dordogne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/joubert-florence-27443,#313567,
PA840889,Bloch,Matthieu,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,MBC,3,Doubs,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/bloch-matthieu-27514,#3367A7,
PA840903,Christophle,Paul,PO845419,SOC,Socialistes et apparentés,SOC,M.,PCH,1,Drôme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/christophle-paul-1658,#F5B4CE,
PA840915,Monnier,Thibaut,PO845401,RN,Rassemblement National,RN,M.,TMO,4,Drôme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/monnier-thibaut-27508,#313567,
PA840939,Godard,Océane,PO845419,SOC,Socialistes et apparentés,SOC,Mme,OGO,1,Côte-d'Or,Psychologue du travail,https://www.hatvp.fr/pages_nominatives/godard-oceane,#F5B4CE,
PA840947,Hervieu,Catherine,PO845439,ECOS,Écologiste et Social,EcoS,Mme,CHE,2,Côte-d'Or,Psychologue scolaire,https://www.hatvp.fr/pages_nominatives/hervieu-catherine,#77AA79,
PA840955,Pribetich,Pierre,PO845419,SOC,Socialistes et apparentés,SOC,M.,PPR,3,Côte-d'Or,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/pribetich-pierre,#F5B4CE,
