acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA795820,-0.4999269805273446,-0.19362574391051782,Nadeau,Marcellin,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,M.,MNA,2,Martinique,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/nadeau-marcellin-24215,#830E21,,Marcellin Nadeau
PA795844,-0.8307472583025945,-0.35255149465965385,Erodi,Karen,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,KER,2,Tarn,Profession libérale,https://www.hatvp.fr/pages_nominatives/erodi-karen-24337,#C00D0D,,Karen Erodi
PA795864,0.08595925924032531,0.49055923813296615,Cazeneuve,Pierre,PO845407,EPR,Ensemble pour la République,EPR,M.,PCA,7,Hauts-de-Seine,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/cazeneuve-pierre-19678,#7B4591,,Pierre Cazeneuve
PA795868,-0.5478393849750818,-0.15630200802261943,Castor,Jean-Victor,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,M.,JCA,1,Guyane,Cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/castor-jean-victor-24289,#830E21,,Jean-Victor Castor
PA795876,-0.5060068204272,-0.15982359458355222,Rimane,Davy,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,M.,DRI,2,Guyane,Technicien,https://www.hatvp.fr/pages_nominatives/rimane-davy-24310,#830E21,,Davy Rimane
PA795884,0.04467274344426691,0.6420536508630592,Ferracci,Marc,PO845407,EPR,Ensemble pour la République,EPR,M.,MFA,6,Français établis hors de France,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/ferracci-marc,#7B4591,,Marc Ferracci
PA795900,0.8182069117731251,-0.12241067148774311,Hamelet,Marine,PO845401,RN,Rassemblement National,RN,Mme,MHA,2,Tarn-et-Garonne,Profession intermédiaire administrative et commerciale des entreprises,https://www.hatvp.fr/pages_nominatives/hamelet-marine-24151,#313567,,Marine Hamelet
PA795908,0.10299027615980601,0.46338770083782643,Chenevard,Yannick,PO845407,EPR,Ensemble pour la République,EPR,M.,YCH,1,Var,Profession libérale,https://www.hatvp.fr/pages_nominatives/chenevard-yannick,#7B4591,,Yannick Chenevard
PA795912,0.6462552442475059,-0.08799505095927661,Lavalette,Laure,PO845401,RN,Rassemblement National,RN,Mme,LLV,2,Var,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/lavalette-laure-24134,#313567,,Laure Lavalette
PA795920,0.12114767806930501,0.5249428072495903,Thevenot,Prisca,PO845407,EPR,Ensemble pour la République,EPR,Mme,PTH,8,Hauts-de-Seine,Collaboratrice parlementaire,https://www.hatvp.fr/pages_nominatives/thevenot-prisca-24191,#7B4591,,Prisca Thevenot
PA795954,0.10760060868809102,0.49999564882724756,Ibled,Catherine,PO845407,EPR,Ensemble pour la République,EPR,Mme,CIB,13,Paris,Directrice adjointe de la communication,https://www.hatvp.fr/pages_nominatives/ibled-catherine-29925,#7B4591,,Catherine Ibled
PA795962,0.2938016170459545,0.49460332889247594,Missoffe,Joséphine,PO845407,EPR,Ensemble pour la République,EPR,Mme,JMI,14,Paris,Infirmière-Puéricultrice,https://www.hatvp.fr/pages_nominatives/missoffe-josephine-28150,#7B4591,,Joséphine Missoffe
PA795966,0.6707139578423701,-0.07584756207038451,Rambaud,Stéphane,PO845401,RN,Rassemblement National,RN,M.,SRA,3,Var,Retraité de la police nationale,https://www.hatvp.fr/pages_nominatives/rambaud-stephane-24208,#313567,,Stéphane Rambaud
PA795974,0.6461685583105536,-0.07391227066018571,Lottiaux,Philippe,PO845401,RN,Rassemblement National,RN,M.,PLO,4,Var,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/lottiaux-philippe-15882,#313567,,Philippe Lottiaux
PA795982,-0.8028619780476982,-0.33341807705234977,Saintoul,Aurélien,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,ASI,11,Hauts-de-Seine,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/saintoul-aurelien-24238,#C00D0D,,Aurélien Saintoul
PA795998,-0.47623156611889644,-0.09076591494448721,K/Bidi,Émeline,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,Mme,EKB,4,Réunion,Avocate,https://www.hatvp.fr/pages_nominatives/k-bidi-emeline-24323,#830E21,,Émeline K/Bidi
PA796010,-0.46652473910382414,-0.07892720805989441,Maillot,Frédéric,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,M.,FML,6,Réunion,Intervenant social,https://www.hatvp.fr/pages_nominatives/maillot-frederic-22320,#830E21,,Frédéric Maillot
PA796018,-0.7851919167243809,-0.12557579672417363,Simonnet,Danielle,PO845439,ECOS,Écologiste et Social,EcoS,Mme,DSI,15,Paris,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/simonnet-danielle-24313,#77AA79,,Danielle Simonnet
PA796026,0.7021142803825704,-0.08710647108526501,Lechanteux,Julie,PO845401,RN,Rassemblement National,RN,Mme,JLT,5,Var,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/lechanteux-julie-15939,#313567,,Julie Lechanteux
PA796034,0.7602166227498378,-0.12925124244795883,Giletti,Frank,PO845401,RN,Rassemblement National,RN,M.,FGI,6,Var,Fonctionnaire,https://www.hatvp.fr/pages_nominatives/giletti-frank-24205,#313567,,Frank Giletti
PA796042,0.7344014317201205,-0.11561624468922391,Boccaletti,Frédéric,PO845401,RN,Rassemblement National,RN,M.,FBO,7,Var,(85) - Personne diverse sans activité professionnelle de moins de 60 ans,https://www.hatvp.fr/pages_nominatives/boccaletti-frederic-24220,#313567,,Frédéric Boccaletti
PA796050,0.7889845743393572,-0.06379502107644071,Schreck,Philippe,PO845401,RN,Rassemblement National,RN,M.,PSC,8,Var,Profession libérale,https://www.hatvp.fr/pages_nominatives/schreck-philippe-24293,#313567,,Philippe Schreck
PA796062,-0.7585299077905581,-0.30698718185287766,Portes,Thomas,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,TPO,3,Seine-Saint-Denis,Cheminot,https://www.hatvp.fr/pages_nominatives/portes-thomas-24240,#C00D0D,,Thomas Portes
PA796070,-0.7846132543692211,-0.31256644447050397,Gaillard,Perceval,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,PGA,7,Réunion,Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/gaillard-perceval-19040,#C00D0D,,Perceval Gaillard
PA796078,0.13400858381901012,0.10415193938886322,Youssouffa,Estelle,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,Mme,EYO,1,Mayotte,Consultante,https://www.hatvp.fr/pages_nominatives/youssouffa-estelle-24327,#FFD96F,,Estelle Youssouffa
PA796090,-0.6865306058058085,-0.25778315392520895,Caron,Aymeric,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,ACA,18,Paris,"Profession de l'information, des arts et des spectacles",https://www.hatvp.fr/pages_nominatives/caron-aymeric-24243,#C00D0D,,Aymeric Caron
PA796106,-0.6387757813851358,-0.16348389926489354,Bénard,Édouard,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,M.,EBE,3,Seine-Maritime,Collaborateur d'élu,https://www.hatvp.fr/pages_nominatives/benard-edouard-26541,#830E21,,Édouard Bénard
