acteur_id,dim1,dim2,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,full_name
PA720838,-0.1875150293098946,0.459386957216169,Bourouaha,Soumya,Mme,SBH,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,4,Seine-Saint-Denis,Professeure,https://www.hatvp.fr/pages_nominatives/bourouaha-soumya-24210,Soumya Bourouaha
PA720846,-0.3006615110586418,0.7448357681144656,Lachaud,Bastien,M.,BLA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,6,Seine-Saint-Denis,Professeur du secondaire et technique,https://www.hatvp.fr/pages_nominatives/lachaud-bastien,Bastien Lachaud
PA720892,-0.3474456791028149,0.823766827900696,Panot,Mathilde,Mme,MPA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,10,Val-de-Marne,Coordinatrice de projets associatifs,https://www.hatvp.fr/pages_nominatives/panot-mathilde,Mathilde Panot
PA720952,-0.2508419911861881,0.6620342144727809,Taché,Aurélien,M.,ATA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,10,Val-d'Oise,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/tache-aurelien,Aurélien Taché
PA720960,0.0921180691697857,0.1618806047831337,Serva,Olivier,M.,OSE,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Guadeloupe,Expert comptable,https://www.hatvp.fr/pages_nominatives/serva-olivier,Olivier Serva
PA720976,0.0383897323457703,0.1679485544654228,Mathiasin,Max,M.,MMT,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Guadeloupe,Fonction publique territoriale,https://www.hatvp.fr/pages_nominatives/mathiasin-max,Max Mathiasin
PA720992,0.0710089098464472,0.4025853794062071,William,Jiovanny,M.,JWI,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Martinique,Profession libérale,https://www.hatvp.fr/pages_nominatives/william-jiovanny-20225,Jiovanny William
PA721004,0.5054874849970579,-0.0256408315395236,Lakrafi,Amélia,Mme,ALK,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,10,Français établis hors de France,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/lakrafi-amelia,Amélia Lakrafi
PA721024,0.5487069901025354,-0.1530007955621859,Genetet,Anne,Mme,AGN,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,11,Français établis hors de France,Médecin généraliste,https://www.hatvp.fr/pages_nominatives/genetet-anne,Anne Genetet
PA721062,-0.2831897297438002,0.7485820764208188,Ratenon,Jean-Hugues,M.,JRA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,5,Réunion,Employé (secteur privé),https://www.hatvp.fr/pages_nominatives/ratenon-jean-hugues,Jean-Hugues Ratenon
PA721110,0.2099467344728635,-0.0088865624594018,Sanquer,Nicole,Mme,NSA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,2,Polynésie Française,Professeur du secondaire et technique,https://www.hatvp.fr/pages_nominatives/sanquer-nicole,Nicole Sanquer
PA721158,0.5563555439743997,-0.0143463953722006,Anglade,Pieyre-Alexandre,M.,PAE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Français établis hors de France,Agent contractuel au Parlement européen,https://www.hatvp.fr/pages_nominatives/anglade-pieyre-alexandre,Pieyre-Alexandre Anglade
PA721182,0.396837400689583,-0.023456615742004,Petit,Frédéric,M.,FPE,PO845454,DEM,Les Démocrates,Dem,#F07E26,,7,Français établis hors de France,Ingénieur,https://www.hatvp.fr/pages_nominatives/petit-frederic,Frédéric Petit
PA721202,-0.2511467131759244,0.6762693197796974,Coquerel,Éric,M.,ECO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Seine-Saint-Denis,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/coquerel-eric,Éric Coquerel
PA721210,-0.1180983302356841,0.6058099351910669,Corbière,Alexis,M.,ACO,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,7,Seine-Saint-Denis,Professeur de lycée professionnel,https://www.hatvp.fr/pages_nominatives/corbiere-alexis,Alexis Corbière
PA721234,0.2902109338653346,-0.1206209533236872,Petit,Maud,Mme,MPT,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Val-de-Marne,Chargée de ressources humaines,https://www.hatvp.fr/pages_nominatives/petit-maud,Maud Petit
PA721270,-0.0905084667488047,0.3815756588958766,Peu,Stéphane,M.,SPE,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,2,Seine-Saint-Denis,Employé,https://www.hatvp.fr/pages_nominatives/peu-stephane,Stéphane Peu
PA721296,0.4802248106739427,-0.0276918599214972,Gouffier Valente,Guillaume,M.,GGO,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Val-de-Marne,Manager public,https://www.hatvp.fr/pages_nominatives/gouffier-valente-guillaume,Guillaume Gouffier Valente
PA721314,0.2957780353296662,-0.1662526272388675,Schellenberger,Raphaël,M.,RSC,PO840056,NI,Non inscrit,NI,#8D949A,,4,Haut-Rhin,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/schellenberger-raphael,Raphaël Schellenberger
PA721336,0.3777557082116363,-0.270912945803288,Brocard,Blandine,Mme,BBC,PO845454,DEM,Les Démocrates,Dem,#F07E26,,5,Rhône,Employée (secteur privé),https://www.hatvp.fr/pages_nominatives/brocard-blandine,Blandine Brocard
PA721410,0.2798800080861167,-0.3604111477790525,Bonnivard,Émilie,Mme,EBN,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Savoie,Cadre à la Caisse des Dépôts et Consignations,https://www.hatvp.fr/pages_nominatives/bonnivard-emilie,Émilie Bonnivard
PA721426,0.5072977298362112,-0.0481991533640866,Riotton,Véronique,Mme,VRI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Haute-Savoie,Consultante-Coach en Ressources Humaines,https://www.hatvp.fr/pages_nominatives/riotton-veronique,Véronique Riotton
PA721458,0.3879853773824189,-0.1244060356113227,Roseren,Xavier,M.,XRO,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,6,Haute-Savoie,Commerçant,https://www.hatvp.fr/pages_nominatives/roseren-xavier,Xavier Roseren
PA721474,0.2668635530146063,-0.0801421028337515,Viry,Stéphane,M.,SVI,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Vosges,Avocat,https://www.hatvp.fr/pages_nominatives/viry-stephane,Stéphane Viry
PA721486,0.2423121549544491,-0.1382503336899496,Naegelen,Christophe,M.,CNA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Vosges,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/naegelen-christophe,Christophe Naegelen
PA721584,0.5280552161960044,-0.1778568948596744,Terlier,Jean,M.,JTR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Tarn,Avocat,https://www.hatvp.fr/pages_nominatives/terlier-jean,Jean Terlier
PA721612,0.4114993090075178,-0.0281375779108246,Guillerm,Carole,Mme,CGUI,PO845454,DEM,Les Démocrates,Dem,#F07E26,,12,Hauts-de-Seine,Conseillère ministérielle,https://www.hatvp.fr/pages_nominatives/guillerm-carole-24466,Carole Guillerm
PA721632,0.5565353176934953,-0.1003245852317848,Lemoine,Patricia,Mme,PLOM,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Seine-et-Marne,retraitée,https://www.hatvp.fr/pages_nominatives/lemoine-patricia,Patricia Lemoine
PA721750,0.5533737091112394,-0.000772952357313211,Calvez,Céline,Mme,CCA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Hauts-de-Seine,Consultante communication,https://www.hatvp.fr/pages_nominatives/calvez-celine,Céline Calvez
PA721764,0.5596223193563316,-0.1874449760855453,Grégoire,Olivia,Mme,OGR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,12,Paris,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/gregoire-olivia,Olivia Grégoire
PA721816,0.2324761515112719,-0.2784063206163687,Boucard,Ian,M.,IBO,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Territoire de Belfort,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/boucard-ian,Ian Boucard
PA721844,0.3809220523879984,-0.0880850279965986,Piron,Béatrice,Mme,BPI,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,3,Yvelines,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/piron-beatrice,Béatrice Piron
PA721852,0.5909698508197639,-0.1825814381446249,Lebec,Marie,Mme,MLE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Yvelines,Consultante en affaires publiques,https://www.hatvp.fr/pages_nominatives/lebec-marie,Marie Lebec
PA721896,-0.1445746353198285,0.7836760175285357,Faucillon,Elsa,Mme,EFA,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,1,Hauts-de-Seine,Employée du secteur privé,https://www.hatvp.fr/pages_nominatives/faucillon-elsa,Elsa Faucillon
PA721908,0.3157778059850023,0.1521282539284942,Braun-Pivet,Yaël,Mme,YBR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Yvelines,Avocate,https://www.hatvp.fr/pages_nominatives/braun-pivet-yael,Yaël Braun-Pivet
PA721916,0.5335138359074832,-0.0534237880550053,Pouzyreff,Natalia,Mme,NPU,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Yvelines,Ingénieure,https://www.hatvp.fr/pages_nominatives/pouzyreff-natalia,Natalia Pouzyreff
PA721932,-0.112386705642044,-0.8067268474732395,Lorho,Marie-France,Mme,MLO,PO845401,RN,Rassemblement National,RN,#313567,,4,Vaucluse,Déléguée médicale,https://www.hatvp.fr/pages_nominatives/lorho-marie-france,Marie-France Lorho
PA721960,-0.3109787563381005,0.7554893254313512,Obono,Danièle,Mme,DOB,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,17,Paris,Bibliothécaire,https://www.hatvp.fr/pages_nominatives/obono-daniele,Danièle Obono
PA721984,0.3565814630513162,-0.0417121078775075,Latombe,Philippe,M.,PLA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Vendée,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/latombe-philippe,Philippe Latombe
PA722000,0.561910832994088,-0.067555633174939,Buchou,Stéphane,M.,SBU,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Vendée,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/buchou-stephane,Stéphane Buchou
PA722070,0.3891098195150092,-0.0941963716002784,Henriet,Pierre,M.,PHN,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,5,Vendée,Professeur du secondaire et technique,https://www.hatvp.fr/pages_nominatives/henriet-pierre,Pierre Henriet
PA722102,0.4516998309409174,-0.3322213053307198,Vidal,Annie,Mme,AVD,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Seine-Maritime,Retraitée de la fonction publique hospitalière,https://www.hatvp.fr/pages_nominatives/vidal-annie,Annie Vidal
PA722134,0.501594308920271,-0.0479490579494748,Fiévet,Jean-Marie,M.,JFI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Deux-Sèvres,Fonctionnaire de catégorie B,https://www.hatvp.fr/pages_nominatives/fievet-jean-marie,Jean-Marie Fiévet
PA722142,-0.0751693019631246,0.5883412705663474,Ruffin,François,M.,FRU,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,1,Somme,Reporter,https://www.hatvp.fr/pages_nominatives/ruffin-francois,François Ruffin
PA722150,0.1679172261494284,0.4130670371500931,Houlié,Sacha,M.,SHO,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Vienne,Avocat,https://www.hatvp.fr/pages_nominatives/houlie-sacha,Sacha Houlié
PA722162,0.4073520810612469,-0.0272751663567027,Turquois,Nicolas,M.,NTU,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Vienne,Agriculteur-propriétaire exploitant,https://www.hatvp.fr/pages_nominatives/turquois-nicolas,Nicolas Turquois
PA722190,0.5932111919818677,-0.091875881375522,Attal,Gabriel,M.,GAT,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,10,Hauts-de-Seine,Consultant,https://www.hatvp.fr/pages_nominatives/attal-gabriel,Gabriel Attal
PA722252,0.3938832104315062,-0.0341959693267885,Rixain,Marie-Pierre,Mme,MRI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Essonne,Consultante en communication,https://www.hatvp.fr/pages_nominatives/rixain-marie-pierre,Marie-Pierre Rixain
PA722284,0.3151798612411928,-0.0652573294905687,Fuchs,Bruno,M.,BFU,PO845454,DEM,Les Démocrates,Dem,#F07E26,,6,Haut-Rhin,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/fuchs-bruno,Bruno Fuchs
PA722336,0.3902909464664222,-0.1217864572492123,Thiébaut,Vincent,M.,VTH,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,9,Bas-Rhin,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/thiebaut-vincent,Vincent Thiébaut
PA722358,0.4106859841786567,-0.0579062175304857,Gassilloud,Thomas,M.,TGA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,10,Rhône,Industriel - Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/gassilloud-thomas,Thomas Gassilloud
PA722366,0.5797277910562137,-0.090405742795082,Fugit,Jean-Luc,M.,JFU,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,11,Rhône,Professeur de faculté,https://www.hatvp.fr/pages_nominatives/fugit-jean-luc,Jean-Luc Fugit
PA722374,0.3474913966163094,-0.106678630001377,Isaac-Sibille,Cyrille,M.,CIS,PO845454,DEM,Les Démocrates,Dem,#F07E26,,12,Rhône,Médecin,https://www.hatvp.fr/pages_nominatives/isaac-sibille-cyrille,Cyrille Isaac-Sibille
PA722382,0.4458263162406989,-0.2188996732212614,Dirx,Benjamin,M.,BDI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Saône-et-Loire,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/dirx-benjamin,Benjamin Dirx
PA722390,0.2557271255654773,-0.3438875671289586,Corneloup,Josiane,Mme,JCR,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Saône-et-Loire,Pharmacien,https://www.hatvp.fr/pages_nominatives/corneloup-josiane-2422,Josiane Corneloup
PA736201,-0.0856934552467549,0.6031683253528108,Taillé-Polian,Sophie,Mme,STI,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,11,Val-de-Marne,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/taille-polian-sophie,Sophie Taillé-Polian
PA757225,0.585608261205969,-0.0578826456069525,Seo,Mikaele,M.,MIO,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Wallis-et-Futuna,Profession intermédiaire administrative de la fonction publique,https://www.hatvp.fr/pages_nominatives/seo-mikaele-24245,Mikaele Seo
PA759832,0.4179461233908327,0.0244800260442231,Pannier-Runacher,Agnès,Mme,APN,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Pas-de-Calais,Dirigeante d'entreprise,https://www.hatvp.fr/pages_nominatives/pannier-runacher-agnes,Agnès Pannier-Runacher
PA774954,0.2878796375069148,-0.429048863408165,Blin,Anne-Laure,Mme,ABI,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Maine-et-Loire,Juriste,https://www.hatvp.fr/pages_nominatives/blin-anne-laure-20484,Anne-Laure Blin
PA774958,0.0977800186676301,0.5360299107331871,Leseul,Gérard,M.,GLE,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,5,Seine-Maritime,Cadre d'entreprise / enseignant universitaire,https://www.hatvp.fr/pages_nominatives/leseul-gerard-20487,Gérard Leseul
PA774960,0.1165365514607473,0.5040964167237344,Santiago,Isabelle,Mme,ISA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,9,Val-de-Marne,Cadre territorial,https://www.hatvp.fr/pages_nominatives/santiago-isabelle-8082,Isabelle Santiago
PA774962,-0.1149125212454444,0.4864342829030583,Lebon,Karine,Mme,KLE,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,2,Réunion,Professeure des écoles,https://www.hatvp.fr/pages_nominatives/lebon-karine-20486,Karine Lebon
PA791812,-0.324157957798496,0.7679132491061574,Chikirou,Sophia,Mme,SCHI,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,6,Paris,Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/chikirou-sophia-24207,Sophia Chikirou
PA791824,-0.3278057178762666,0.7760505983904492,Legrain,Sarah,Mme,SLE,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,16,Paris,Professeure de français,https://www.hatvp.fr/pages_nominatives/legrain-sarah-24203,Sarah Legrain
PA793094,0.3147444158341371,-0.4240699782953175,Ray,Nicolas,M.,NRA,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Allier,Inspecteur principal des Finances publiques,https://www.hatvp.fr/pages_nominatives/ray-nicolas-24253,Nicolas Ray
PA793102,-0.1421921456439755,-0.7779461968637476,Girard,Christian,M.,CGI,PO845401,RN,Rassemblement National,RN,#313567,,1,Alpes-de-Haute-Provence,Ancien cadre,https://www.hatvp.fr/pages_nominatives/girard-christian-24287,Christian Girard
PA793122,0.3580995354831858,-0.1851691622244931,Daubié,Romain,M.,RDA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,2,Ain,Avocat,https://www.hatvp.fr/pages_nominatives/daubie-romain,Romain Daubié
PA793134,-0.0964453180061784,-0.729998737878501,Buisson,Jérôme,M.,JBI,PO845401,RN,Rassemblement National,RN,#313567,,4,Ain,Professeur d'italien,https://www.hatvp.fr/pages_nominatives/buisson-jerome-24280,Jérôme Buisson
PA793146,-0.0957741626791935,-0.75128671448347,Dragon,Nicolas,M.,NDR,PO845401,RN,Rassemblement National,RN,#313567,,1,Aisne,Profession libérale,https://www.hatvp.fr/pages_nominatives/dragon-nicolas-24250,Nicolas Dragon
PA793158,-0.0778121520518156,-0.6252684414046584,Beaurain,José,M.,JBE,PO845401,RN,Rassemblement National,RN,#313567,,4,Aisne,Artisan,https://www.hatvp.fr/pages_nominatives/beaurain-jose-24140,José Beaurain
PA793166,-0.1088718557375951,-0.7090945080967407,Dessigny,Jocelyn,M.,JDG,PO845401,RN,Rassemblement National,RN,#313567,,5,Aisne,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/dessigny-jocelyn-24262,Jocelyn Dessigny
PA793174,-0.0620231697163394,0.3517694772285129,Monnet,Yannick,M.,YMO,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,1,Allier,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/monnet-yannick-24259,Yannick Monnet
PA793182,-0.1458817845602535,-0.8779396230686934,Bovet,Jorys,M.,JBV,PO845401,RN,Rassemblement National,RN,#313567,,2,Allier,Chauffeur-livreur,https://www.hatvp.fr/pages_nominatives/bovet-jorys-24137,Jorys Bovet
PA793194,0.3378496717823004,-0.0852323447110436,Vuibert,Lionel,M.,LVU,PO840056,NI,Non inscrit,NI,#8D949A,,1,Ardennes,Directeur général,https://www.hatvp.fr/pages_nominatives/vuibert-lionel-24177,Lionel Vuibert
PA793214,0.214921606212435,0.223442898300421,Abadie-Amiel,Audrey,Mme,AAB,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,2,Ariège,Enseignante,https://www.hatvp.fr/pages_nominatives/abadie-amiel-audrey-29921,Audrey Abadie-Amiel
PA793218,-0.1318536749890059,-0.8807462238341585,Guitton,Jordan,M.,JGT,PO845401,RN,Rassemblement National,RN,#313567,,1,Aube,Assistant Parlementaire,https://www.hatvp.fr/pages_nominatives/guitton-jordan-24258,Jordan Guitton
PA793230,-0.0846509260757313,-0.7064590163201021,Ranc,Angélique,Mme,ARA,PO845401,RN,Rassemblement National,RN,#313567,,3,Aube,Sans activité professionnelle,https://www.hatvp.fr/pages_nominatives/ranc-angelique-24274,Angélique Ranc
PA793246,-0.0908842889167832,-0.6818719727144517,Falcon,Frédéric,M.,FFA,PO845401,RN,Rassemblement National,RN,#313567,,2,Aude,Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/falcon-frederic-24248,Frédéric Falcon
PA793254,-0.1025277321840309,-0.7701781449803753,Rancoule,Julien,M.,JRN,PO845401,RN,Rassemblement National,RN,#313567,,3,Aude,Profession libérale,https://www.hatvp.fr/pages_nominatives/rancoule-julien-24149,Julien Rancoule
PA793262,-0.3237466065453382,0.7593629365587432,Alexandre,Laurent,M.,LAL,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,2,Aveyron,Ouvrier qualifié de type industriel,https://www.hatvp.fr/pages_nominatives/alexandre-laurent-24165,Laurent Alexandre
PA793270,0.5412381061764816,-0.0551744809600945,Rousset,Jean-François,M.,JRO,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Aveyron,Chirurgien,https://www.hatvp.fr/pages_nominatives/rousset-jean-francois-24339,Jean-François Rousset
PA793290,-0.1248159992054555,-0.7685399444291562,Lelouis,Gisèle,Mme,GLL,PO845401,RN,Rassemblement National,RN,#313567,,3,Bouches-du-Rhône,Ancien employé,https://www.hatvp.fr/pages_nominatives/lelouis-gisele-24333,Gisèle Lelouis
PA793298,-0.1284671804162894,-0.7445527099087845,Tivoli,Lionel,M.,LTI,PO845401,RN,Rassemblement National,RN,#313567,,2,Alpes-Maritimes,Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/tivoli-lionel-24176,Lionel Tivoli
PA793322,0.0331044564484657,-0.7011410153053533,D'Intorni,Christelle,Mme,CIN,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,5,Alpes-Maritimes,Avocate,https://www.hatvp.fr/pages_nominatives/d-intorni-christelle-20430,Christelle D'Intorni
PA793334,-0.0547122359836676,-0.7499725922787359,Tribuiani,Cyril,M.,CTR,PO845401,RN,Rassemblement National,RN,#313567,,6,Alpes-Maritimes,Agent d'assurances,https://www.hatvp.fr/pages_nominatives/tribuiani-cyril-30321,Cyril Tribuiani
PA793342,0.2098125384364738,-0.3075251016101371,Martin (Alpes-Maritimes),Alexandra,Mme,AMT,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,8,Alpes-Maritimes,Employé civil et agent de service de la fonction publique,https://www.hatvp.fr/pages_nominatives/martin-(alpes-maritimes)-alexandra,Alexandra Martin (Alpes-Maritimes)
PA793354,-0.0634679489706465,-0.6818860407922678,Mélin,Joëlle,Mme,JME,PO845401,RN,Rassemblement National,RN,#313567,,9,Bouches-du-Rhône,Médecin expert judiciaire,https://www.hatvp.fr/pages_nominatives/melin-joelle,Joëlle Mélin
PA793362,-0.1301163907982245,-0.8195911907318684,Gonzalez,José,M.,JGO,PO845401,RN,Rassemblement National,RN,#313567,,10,Bouches-du-Rhône,Ancien employé,https://www.hatvp.fr/pages_nominatives/gonzalez-jose-24144,José Gonzalez
PA793374,-0.0740889075309473,-0.6976694502402513,Baubry,Romain,M.,RBA,PO845401,RN,Rassemblement National,RN,#313567,,15,Bouches-du-Rhône,Policier et militaire,https://www.hatvp.fr/pages_nominatives/baubry-romain-24174,Romain Baubry
PA793382,-0.0572931344658669,-0.6967674476023219,Taché,Emmanuel,M.,ETA,PO845401,RN,Rassemblement National,RN,#313567,,16,Bouches-du-Rhône,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/tache-emmanuel-24318,Emmanuel Taché
PA793394,0.1289571218365129,0.6363238115431246,Delaporte,Arthur,M.,ADE,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Calvados,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/delaporte-arthur-24229,Arthur Delaporte
PA793398,0.3911495694540053,-0.1749495720905935,Patrier-Leitus,Jérémie,M.,JPI,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,3,Calvados,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/patrier-leitus-jeremie-24284,Jérémie Patrier-Leitus
PA793432,-0.0955198795746831,-0.6552341386105739,Allisio,Franck,M.,FAL,PO845401,RN,Rassemblement National,RN,#313567,,12,Bouches-du-Rhône,Profession libérale,https://www.hatvp.fr/pages_nominatives/allisio-franck-24180,Franck Allisio
PA793444,-0.3706076414851724,0.8287808086216701,Bompard,Manuel,M.,MBO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,4,Bouches-du-Rhône,Ingénieur,https://www.hatvp.fr/pages_nominatives/bompard-manuel-16003,Manuel Bompard
PA793452,-0.116034625660712,0.7414523394652051,Davi,Hendrik,M.,HDA,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,5,Bouches-du-Rhône,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/davi-hendrik-24305,Hendrik Davi
PA793464,-0.2737460643844437,0.6949633470812886,Delogu,Sébastien,M.,SDL,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,7,Bouches-du-Rhône,Sans profession,https://www.hatvp.fr/pages_nominatives/delogu-sebastien-24179,Sébastien Delogu
PA793508,0.285880760397299,-0.3053864840852445,Brigand,Hubert,M.,HBI,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,4,Côte-d'Or,Ancienne profession intermédiaire,https://www.hatvp.fr/pages_nominatives/brigand-hubert-22438,Hubert Brigand
PA793520,0.3294010715196225,-0.0275426046773355,Cosson,Mickaël,M.,MCO,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Côtes-d'Armor,Chargé d'opérations urbanisme,https://www.hatvp.fr/pages_nominatives/cosson-mickael-18183,Mickaël Cosson
PA793532,-0.3353791892008077,0.8123724245190959,Lepvraud,Murielle,Mme,MLV,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,4,Côtes-d'Armor,Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/lepvraud-murielle-24168,Murielle Lepvraud
PA793548,-0.1001124219497115,-0.8140100738519026,Colombier,Caroline,Mme,CCO,PO845401,RN,Rassemblement National,RN,#313567,,3,Charente,Ancienne avocate / Ancien cadre,https://www.hatvp.fr/pages_nominatives/colombier-caroline-24233,Caroline Colombier
PA793556,0.3626888328982287,0.0824021392245562,Gervais,Sabine,Mme,SGER,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Charente-Maritime,Infirmière puéricultrice,https://www.hatvp.fr/pages_nominatives/gervais-sabine-30436,Sabine Gervais
PA793572,0.4218608083443471,-0.1272707956440564,Plassard,Christophe,M.,CPL,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,5,Charente-Maritime,Profession libérale,https://www.hatvp.fr/pages_nominatives/plassard-christophe-24298,Christophe Plassard
