acteur_id,dim1,dim2,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,full_name
PA643175,0.2844286749065807,0.1768338573957434,Dupont,Stella,Mme,SDU,PO840056,NI,Non inscrit,NI,#8D949A,,2,Maine-et-Loire,Comptable,https://www.hatvp.fr/pages_nominatives/dupont-stella,Stella Dupont
PA643184,0.566025337730546,-0.1229360687999212,Klinkert,Brigitte,Mme,BKL,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Haut-Rhin,Ancien cadre,https://www.hatvp.fr/pages_nominatives/klinkert-brigitte-13215,Brigitte Klinkert
PA643192,0.065844691817623,0.6339171551213639,Jourdan,Chantal,Mme,CJO,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Orne,Psychologue,https://www.hatvp.fr/pages_nominatives/jourdan-chantal-20670,Chantal Jourdan
PA687214,0.3990260897868714,-0.2193024398747299,Berrios,Sylvain,M.,SBE,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Val-de-Marne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/berrios-sylvain,Sylvain Berrios
PA712014,0.468626019342251,-0.0457580046228719,Ledoux,Vincent,M.,VLE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,10,Nord,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/ledoux-vincent,Vincent Ledoux
PA712015,0.2936381121604537,-0.3375157296013857,Dive,Julien,M.,JDV,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Aisne,Chef de projet dans l'industrie,https://www.hatvp.fr/pages_nominatives/dive-julien,Julien Dive
PA717161,0.4875063814490846,-0.0673886410043568,Borne,Élisabeth,Mme,ELB,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Calvados,Ingénieur et cadre technique d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",Élisabeth Borne
PA717379,0.49424137730027,-0.1217175891443245,Maillard,Sylvain,M.,SMA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Paris,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/maillard-sylvain,Sylvain Maillard
PA718674,0.5587176648348211,-0.0542565691851807,Givernet,Olga,Mme,OGI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Ain,Ingénieure,https://www.hatvp.fr/pages_nominatives/givernet-olga,Olga Givernet
PA718784,0.2942529293439711,-0.3707011833557346,Pauget,Éric,M.,EPA,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,7,Alpes-Maritimes,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/pauget-eric-6497,Éric Pauget
PA718820,0.6118685050699417,-0.0826414230375827,Cestrières,Pauline,Mme,PCE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Aveyron,Agricultrice,https://www.hatvp.fr/pages_nominatives/cestrieres-pauline-30435,Pauline Cestrières
PA718838,0.2405864202538325,-0.32483017442649,Brun,Fabrice,M.,FBR,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Ardèche,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/brun-fabrice,Fabrice Brun
PA718850,0.2039563741761232,-0.3573895421161156,Cordier,Pierre,M.,PCD,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Ardennes,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/cordier-pierre-2482,Pierre Cordier
PA718884,0.3095632105217348,-0.3796473216027682,Bazin-Malgras,Valérie,Mme,VBA,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Aube,Commerçante,https://www.hatvp.fr/pages_nominatives/bazin-malgras-valerie,Valérie Bazin-Malgras
PA719024,0.3641598318060018,-0.0420931453849543,Blanchet,Christophe,M.,CBA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Calvados,Commerçant,https://www.hatvp.fr/pages_nominatives/blanchet-christophe,Christophe Blanchet
PA719032,0.4186052547547905,-0.1131501872091226,Bouyx,Bertrand,M.,BBU,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,5,Calvados,Pharmacien,https://www.hatvp.fr/pages_nominatives/bouyx-bertrand,Bertrand Bouyx
PA719052,0.3636358448104747,-0.1820465359960536,Kervran,Loïc,M.,LKE,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,3,Cher,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/kervran-loic,Loïc Kervran
PA719080,0.5685802009178491,-0.1419867313874795,Marsaud,Sandra,Mme,SMR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Charente,Cadre (entreprises publiques),https://www.hatvp.fr/pages_nominatives/marsaud-sandra,Sandra Marsaud
PA719118,0.5074977022637341,-0.0357526893332732,Cormier-Bouligeon,François,M.,FCR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Cher,Juriste,https://www.hatvp.fr/pages_nominatives/cormier-bouligeon-francois,François Cormier-Bouligeon
PA719138,0.0967368612214072,0.2364809176870282,Castellani,Michel,M.,MCA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Haute-Corse,Professeur des Universités,https://www.hatvp.fr/pages_nominatives/castellani-michel,Michel Castellani
PA719218,0.4254400609835996,-0.0784591081298896,Berville,Hervé,M.,HBR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Côtes-d'Armor,Economiste,https://www.hatvp.fr/pages_nominatives/berville-herve,Hervé Berville
PA719272,0.3103997260127328,-0.1457795529157122,Meunier,Frédérique,Mme,FME,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Corrèze,Avocate,https://www.hatvp.fr/pages_nominatives/meunier-frederique-6851,Frédérique Meunier
PA719286,0.1584835924497697,0.0977249756912354,Colombani,Paul-André,M.,PCO,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,2,Corse-du-Sud,Médecin,https://www.hatvp.fr/pages_nominatives/colombani-paul-andre,Paul-André Colombani
PA719338,0.5121215655865762,-0.0539651480561733,Melchior,Graziella,Mme,GML,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Finistère,Professeure agrégée,https://www.hatvp.fr/pages_nominatives/melchior-graziella,Graziella Melchior
PA719372,0.5722370105517602,-0.1898196809930483,Kasbarian,Guillaume,M.,GKA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Eure-et-Loir,Consultant en stratégie d'entreprise,https://www.hatvp.fr/pages_nominatives/kasbarian-guillaume,Guillaume Kasbarian
PA719388,0.5826536206445245,-0.1125831952519866,Le Meur,Annaïg,Mme,ALM,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Finistère,Autre profession libérale,https://www.hatvp.fr/pages_nominatives/le-meur-annaig,Annaïg Le Meur
PA719404,0.5025691356906318,-0.0243031153970023,Le Gac,Didier,M.,DGA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Finistère,Profession rattachée à l'enseignement,https://www.hatvp.fr/pages_nominatives/le-gac-didier-5234,Didier Le Gac
PA719412,0.4754305975442876,0.0075008334997405,Le Feur,Sandrine,Mme,SFE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Finistère,Agriculteur-propriétaire exploitant,https://www.hatvp.fr/pages_nominatives/le-feur-sandrine,Sandrine Le Feur
PA719436,-0.0912966986539195,-0.7460558447531644,Meizonnet,Nicolas,M.,NME,PO845401,RN,Rassemblement National,RN,#313567,,2,Gard,Ingénieur en informatique,https://www.hatvp.fr/pages_nominatives/meizonnet-nicolas-17348,Nicolas Meizonnet
PA719472,0.5232438782029856,-0.101620208602823,Cazeneuve,Jean-René,M.,JCZ,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Gers,Ingénieur,https://www.hatvp.fr/pages_nominatives/cazeneuve-jean-rene,Jean-René Cazeneuve
PA719512,0.5089071185343064,-0.051358995436891,Vignon,Corinne,Mme,CVI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Haute-Garonne,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/vignon-corinne,Corinne Vignon
PA719528,0.3863022115701037,-0.1540474235447562,Portarrieu,Jean-François,M.,JPR,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,5,Haute-Garonne,Journaliste,https://www.hatvp.fr/pages_nominatives/portarrieu-jean-francois,Jean-François Portarrieu
PA719550,0.4440529359377868,-0.2799268178358302,Tanguy,Liliana,Mme,LTA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,7,Finistère,Cadre supérieur du secteur public,https://www.hatvp.fr/pages_nominatives/tanguy-liliana,Liliana Tanguy
PA719558,0.369174482432323,0.0357013358362072,Balanant,Erwan,M.,EBA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,8,Finistère,Photographe et réalisateur,https://www.hatvp.fr/pages_nominatives/balanant-erwan,Erwan Balanant
PA719578,-0.2568847336306254,0.636195161724132,Prud'homme,Loïc,M.,LPR,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Gironde,Fonctionnaire de catégorie B,https://www.hatvp.fr/pages_nominatives/prud-homme-loic,Loïc Prud'homme
PA719632,0.4873221793016226,-0.0289185689082271,Panonacle,Sophie,Mme,SPA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,8,Gironde,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/panonacle-sophie,Sophie Panonacle
PA719640,0.3806243960536395,-0.0267707238127685,Mette,Sophie,Mme,SMT,PO845454,DEM,Les Démocrates,Dem,#F07E26,,9,Gironde,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/mette-sophie,Sophie Mette
PA719756,0.5984796031128189,-0.0779772981787012,Le Nabour,Christine,Mme,CLN,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Ille-et-Vilaine,Employée (secteur privé),https://www.hatvp.fr/pages_nominatives/le-nabour-christine,Christine Le Nabour
PA719778,0.3377190499305224,-0.1535233372145433,Jolivet,François,M.,FJO,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Indre,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/jolivet-francois,François Jolivet
PA719798,0.4813299528394272,-0.1527181912600246,Labaronne,Daniel,M.,DLA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Indre-et-Loire,Retraité de l'enseignement supérieur,https://www.hatvp.fr/pages_nominatives/labaronne-daniel,Daniel Labaronne
PA719822,0.3697758533432531,-0.0547542762843529,Thillaye,Sabine,Mme,STH,PO845454,DEM,Les Démocrates,Dem,#F07E26,,5,Indre-et-Loire,Ancien Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/thillaye-sabine,Sabine Thillaye
PA719890,0.3849194256432574,-0.2092126724207234,Brulebois,Danielle,Mme,DBR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Jura,Retraitée de l'enseignement,https://www.hatvp.fr/pages_nominatives/brulebois-danielle,Danielle Brulebois
PA719914,0.3956286006676062,-0.0429925774395191,Darrieussecq,Geneviève,Mme,GDI,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Landes,médecin,https://www.hatvp.fr/pages_nominatives/darrieussecq-genevieve,Geneviève Darrieussecq
PA719922,0.3883518353540164,0.0151900613347877,Causse,Lionel,M.,LCU,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Landes,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/causse-lionel,Lionel Causse
PA719930,0.1221778401399174,0.5767968418146662,Vallaud,Boris,M.,BVA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,3,Landes,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/vallaud-boris,Boris Vallaud
PA719938,0.385746687929299,-0.0496311971589938,Fesneau,Marc,M.,MFE,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Loir-et-Cher,Ministre,https://www.hatvp.fr/pages_nominatives/fesneau-marc,Marc Fesneau
PA719968,0.2953124219128697,-0.4162050137890075,Bonnet,Sylvie,Mme,SBN,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,4,Loire,Collaboratrice parlementaire,https://www.hatvp.fr/pages_nominatives/bonnet-sylvie-26241,Sylvie Bonnet
PA720022,0.50290909727611,-0.0356480303651675,Lauzzana,Michel,M.,MLZ,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Lot-et-Garonne,Médecin,https://www.hatvp.fr/pages_nominatives/lauzzana-michel,Michel Lauzzana
PA720038,0.385443922394627,-0.0192491043387952,Josso,Sandrine,Mme,SJO,PO845454,DEM,Les Démocrates,Dem,#F07E26,,7,Loire-Atlantique,Autre profession libérale,https://www.hatvp.fr/pages_nominatives/josso-sandrine,Sandrine Josso
PA720092,0.2914020587938018,0.0195137321890059,Ramos,Richard,M.,RRA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,6,Loiret,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/ramos-richard,Richard Ramos
PA720100,0.1104774649973204,-0.0963862437925141,Pradié,Aurélien,M.,APR,PO840056,NI,Non inscrit,NI,#8D949A,,1,Lot,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/pradie-aurelien,Aurélien Pradié
PA720138,0.4096841927773936,-0.1771927101557938,Saint-Paul,Laetitia,Mme,LSP,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,4,Maine-et-Loire,Officier de l'armée de Terre,https://www.hatvp.fr/pages_nominatives/saint-paul-laetitia,Laetitia Saint-Paul
PA720146,0.521228438848554,-0.0748993096458367,Masséglia,Denis,M.,DMS,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Maine-et-Loire,Ingénieur Arts et métiers,https://www.hatvp.fr/pages_nominatives/masseglia-denis,Denis Masséglia
PA720154,0.5462893027962287,-0.0068039634084472,Dubré-Chirat,Nicole,Mme,NDB,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Maine-et-Loire,Retraitée de la fonction publique hospitalière et chargée de formation,https://www.hatvp.fr/pages_nominatives/dubre-chirat-nicole,Nicole Dubré-Chirat
PA720190,0.5155465784260068,-0.0562687534323022,Sorre,Bertrand,M.,BSO,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Manche,Enseignant 1er degré-directeur d'école (en disponibilité),https://www.hatvp.fr/pages_nominatives/sorre-bertrand,Bertrand Sorre
PA720230,0.3943574917818813,-0.1032625079273024,Magnier,Lise,Mme,LMG,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,4,Marne,Cadre territorial,https://www.hatvp.fr/pages_nominatives/magnier-lise,Lise Magnier
PA720256,0.3802795003397225,-0.0231907976735475,Bannier,Géraldine,Mme,GBA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,2,Mayenne,Professeur du secondaire et technique,https://www.hatvp.fr/pages_nominatives/bannier-geraldine,Géraldine Bannier
PA720334,0.3349150902409933,0.0008807583822243245,Pahun,Jimmy,M.,JPA,PO845454,DEM,Les Démocrates,Dem,#F07E26,,2,Morbihan,Navigateur,https://www.hatvp.fr/pages_nominatives/pahun-jimmy,Jimmy Pahun
PA720342,0.5178920908650702,-0.0853461629781643,Le Peih,Nicole,Mme,NPE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Morbihan,Agricultrice,https://www.hatvp.fr/pages_nominatives/le-peih-nicole,Nicole Le Peih
PA720354,0.4812078516252632,-0.0945634982223597,Jacques,Jean-Michel,M.,JJA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Morbihan,Infirmier des forces spéciales,https://www.hatvp.fr/pages_nominatives/jacques-jean-michel,Jean-Michel Jacques
PA720362,0.1790215865520326,0.285796988016626,Belhaddad,Belkhir,M.,BBL,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Moselle,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/belhaddad-belkhir,Belkhir Belhaddad
PA720370,0.5237981919404023,-0.0514917610830305,Mendes,Ludovic,M.,LME,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Moselle,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/mendes-ludovic,Ludovic Mendes
