acteur_id,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp
PA794138,Amiot,Ségolène,Mme,SAM,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Loire-Atlantique,Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/amiot-segolene-24206
PA794146,Laernoes,Julie,Mme,JLR,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,4,Loire-Atlantique,Ancien cadre,https://www.hatvp.fr/pages_nominatives/laernoes-julie-17811
PA794154,Raux,Jean-Claude,M.,JRX,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,6,Loire-Atlantique,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/raux-jean-claude-24342
PA794166,Tavel,Matthias,M.,MTV,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,8,Loire-Atlantique,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/tavel-matthias-24228
PA794198,Chudeau,Roger,M.,RCH,PO845401,RN,Rassemblement National,RN,#313567,,2,Loir-et-Cher,Inspecteur général de l'éducation nationale honoraire,https://www.hatvp.fr/pages_nominatives/chudeau-roger-24171
PA794206,Marion,Christophe,M.,CMA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Loir-et-Cher,Délégué général du Comité des travaux historiques et scientifiques,https://www.hatvp.fr/pages_nominatives/marion-christophe-24296
PA794234,Gernigon,François,M.,FGE,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Maine-et-Loire,Ancien cadre,https://www.hatvp.fr/pages_nominatives/gernigon-francois-20076
PA794262,Maussion,Patricia,Mme,PMAU,PO845454,DEM,Les Démocrates,Dem,#F07E26,,7,Maine-et-Loire,Agricultrice,https://www.hatvp.fr/pages_nominatives/maussion-patricia-30989
PA794270,Pic,Anna,Mme,API,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Manche,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/pic-anna-20030
PA794278,Albertini,Xavier,M.,XAL,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Marne,Profession libérale,https://www.hatvp.fr/pages_nominatives/albertini-xavier
PA794322,Ménagé,Thomas,M.,TMN,PO845401,RN,Rassemblement National,RN,#313567,,4,Loiret,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/menage-thomas-24239
PA794330,Brosse,Anthony,M.,ABO,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Loiret,Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/brosse-anthony-24192
