acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA1008,-0.28916322182650206,0.06801873301212262,David,Alain,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,ADA,4.0,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,#DF84B5,Opposition,Alain David
PA1206,-0.24255677167732792,-0.49987899928309115,Dupont-Aignan,Nicolas,PO793087,NI,Non inscrit,NI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8.0,Essonne,Administrateur de l'Etat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#8D949A,,Nicolas Dupont-Aignan
PA1327,0.39859993803468613,-0.054656248612979505,Forissier,Nicolas,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2.0,Indre,Chef d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Nicolas Forissier
PA1567,-0.31678797572095957,0.12690226498130794,Guedj,Jérôme,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,JGD,6.0,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome,#DF84B5,Opposition,Jérôme Guedj
PA1592,0.13504903998953474,0.09767768100122501,Habib,David,PO793087,NI,Non inscrit,NI,M.,DHA,3.0,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,#8D949A,,David Habib
PA1630,0.23112851347039903,-0.07924187757685511,Herbillon,Michel,PO800508,LR,Les Républicains,LR,M.,MHR,8.0,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,#4565AD,Opposition,Michel Herbillon
PA1874,0.23762550287986212,-0.15956797235328174,Le Fur,Marc,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3.0,Côtes-d'Armor,Sous-préfet,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Marc Le Fur
PA2449,0.47764588550404286,0.33811810920426155,Pont,Jean-Pierre,PO800538,RE,Renaissance,RE,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5.0,Pas-de-Calais,Médecin,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Jean-Pierre Pont
PA266788,0.07700975788364531,0.12742870867433612,Morel-À-L'Huissier,Pierre,PO800532,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1.0,Lozère,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F8D434,Opposition,Pierre Morel-À-L'Huissier
PA266793,0.18073991734418102,-0.12277932752721242,Bony,Jean-Yves,PO800508,LR,Les Républicains,LR,M.,JBY,2.0,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,#4565AD,Opposition,Jean-Yves Bony
PA266797,0.24854008518558013,-0.10593904885374981,Gosselin,Philippe,PO800508,LR,Les Républicains,LR,M.,PGS,1.0,Manche,Maître de conférences à Sciences Po,https://www.hatvp.fr/pages_nominatives/gosselin-philippe,#4565AD,Opposition,Philippe Gosselin
PA266808,0.35349385813851497,-0.13349576493675383,Rolland,Vincent,PO800508,LR,Les Républicains,LR,M.,VRO,2.0,Savoie,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/rolland-vincent-7763,#4565AD,Opposition,Vincent Rolland
PA267042,0.13647549514137364,0.08537560864491811,Favennec-Bécot,Yannick,PO800514,HOR,Horizons et apparentés,HOR,M.,YFA,3.0,Mayenne,Directeur de cabinet,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick,#F8D434,Opposition,Yannick Favennec-Bécot
PA267306,-0.40404136789794143,-0.07113455602073691,Chassaigne,André,PO800502,GDR-NUPES,Gauche démocrate et républicaine - NUPES,GDR - NUPES,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5.0,Puy-de-Dôme,Retraité de l'éducation nationale,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#991414,Opposition,André Chassaigne
PA267318,0.40194452547015613,0.24962944560397682,Grelier,Jean-Carles,PO800538,RE,Renaissance,RE,M.,JGR,5.0,Sarthe,Avocat,https://www.hatvp.fr/pages_nominatives/grelier-jean-carles-9591,#61468F,Majoritaire,Jean-Carles Grelier
PA267324,0.21840434952367663,-0.05971110333068941,Gaultier,Jean-Jacques,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4.0,Vosges,Médecin biologiste,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Jean-Jacques Gaultier
PA267336,0.49381596093544816,0.40570274163003117,Giraud,Joël,PO800538,RE,Renaissance,RE,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2.0,Hautes-Alpes,Administrateur civil hors-classe,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Joël Giraud
PA267429,0.22976285625026563,-0.13030604731039333,Cinieri,Dino,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4.0,Loire,Consultant sécurité,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Dino Cinieri
PA267766,0.10527058726200542,-0.0016655774375489002,Bricout,Guy,PO800532,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",18.0,Nord,Retraité fonction publique (hors enseignement),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F8D434,Opposition,Guy Bricout
PA267780,0.48047807291197187,0.27007116904490813,Firmin Le Bodo,Agnès,PO800514,HOR,Horizons et apparentés,HOR,Mme,AFI,7.0,Seine-Maritime,Pharmacien,https://www.hatvp.fr/pages_nominatives/firmin-le-bodo-agnes,#32B3CA,Minoritaire,Agnès Firmin Le Bodo
PA267794,0.26635219906421675,-0.10724786073976492,Tabarot,Michèle,PO800508,LR,Les Républicains,LR,Mme,MTA,9.0,Alpes-Maritimes,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/tabarot-michele,#4565AD,Opposition,Michèle Tabarot
PA267901,0.32368271880812594,-0.16632757524169542,Kamardine,Mansour,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1.0,Mayotte,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Mansour Kamardine
PA2952,0.15887372396041413,0.10138409870649431,Warsmann,Jean-Luc,PO800532,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,JWA,3.0,Ardennes,Directeur de mutuelle,https://www.hatvp.fr/pages_nominatives/warsmann-jean-luc,#F8D434,Opposition,Jean-Luc Warsmann
PA2960,0.6202088857605889,0.3630365461838648,Woerth,Éric,PO800538,RE,Renaissance,RE,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4.0,Oise,Associé dans un cabinet d'audit international,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Éric Woerth
PA309643,0.15861210929142822,-0.3023923388499918,Besse,Véronique,PO793087,NI,Non inscrit,NI,Mme,VBE,4.0,Vendée,Journaliste,https://www.hatvp.fr/pages_nominatives/besse-veronique,#8D949A,,Véronique Besse
PA330008,0.15221416688899042,-0.12615929728603584,Breton,Xavier,PO800508,LR,Les Républicains,LR,M.,XBR,1.0,Ain,Cadre territorial,https://www.hatvp.fr/pages_nominatives/breton-xavier,#4565AD,Opposition,Xavier Breton
PA330240,0.33426384842023893,-0.15697967871150173,Ciotti,Éric,PO800508,LR,Les Républicains,LR,M.,ECI,1.0,Alpes-Maritimes,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/ciotti-eric,#4565AD,Opposition,Éric Ciotti
PA330909,0.23365324941315702,-0.10740009395016671,Descoeur,Vincent,PO800508,LR,Les Républicains,LR,M.,VDE,1.0,Cantal,Professeur agrégé de biologie,https://www.hatvp.fr/pages_nominatives/descoeur-vincent-3159,#4565AD,Opposition,Vincent Descoeur
PA331582,0.34237391255740013,0.22881687995639294,Vigier,Philippe,PO800484,DEM,Démocrate (MoDem et Indépendants),Dem,M.,PVG,4.0,Eure-et-Loir,Biologiste A.I.H.P.,https://www.hatvp.fr/pages_nominatives/vigier-philippe,#CE5215,Minoritaire,Philippe Vigier
PA331835,0.41820474795249407,0.3661366347726935,Iborra,Monique,PO800538,RE,Renaissance,RE,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",6.0,Haute-Garonne,Retraitée de la Fonction publique,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Monique Iborra
PA332228,0.24366752289357052,0.061823378362004106,Benoit,Thierry,PO800514,HOR,Horizons et apparentés,HOR,M.,TBE,6.0,Ille-et-Vilaine,Représentant de commerce,https://www.hatvp.fr/pages_nominatives/benoit-thierry,#32B3CA,Minoritaire,Thierry Benoit
PA332523,0.28387466119574606,-0.06987089636980512,Dalloz,Marie-Christine,PO800508,LR,Les Républicains,LR,Mme,MDL,2.0,Jura,retraitée,https://www.hatvp.fr/pages_nominatives/dalloz-marie-christine,#4565AD,Opposition,Marie-Christine Dalloz
PA333285,-0.35079978927216676,0.20048258649593112,Garot,Guillaume,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,GGR,1.0,Mayenne,Cadre administratif,https://www.hatvp.fr/pages_nominatives/garot-guillaume,#DF84B5,Opposition,Guillaume Garot
PA333421,0.031366590228833806,0.06717009227550311,Pancher,Bertrand,PO800532,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1.0,Meuse,Directeur du développement,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F8D434,Opposition,Bertrand Pancher
PA334116,0.42028598944647994,0.28461260996019305,Maquet,Jacqueline,PO800538,RE,Renaissance,RE,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2.0,Pas-de-Calais,Directrice de mission,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Jacqueline Maquet
PA335054,-0.26867121071734984,0.10823772038931911,Karamanli,Marietta,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,Mme,MKA,2.0,Sarthe,Professeur dans l'enseignement supérieur,https://www.hatvp.fr/pages_nominatives/karamanli-marietta,#DF84B5,Opposition,Marietta Karamanli
PA335612,-0.5465914637347818,0.0027089670725593006,Lecoq,Jean-Paul,PO800502,GDR-NUPES,Gauche démocrate et républicaine - NUPES,GDR - NUPES,M.,JLC,8.0,Seine-Maritime,Électricien,https://www.hatvp.fr/pages_nominatives/lecoq-jean-paul,#991414,Opposition,Jean-Paul Lecoq
PA335999,-0.45488473565742493,0.14010634299774852,Batho,Delphine,PO800526,ECOLO,Écologiste - NUPES,Ecolo - NUPES,Mme,DBT,2.0,Deux-Sèvres,Cadre territorial,https://www.hatvp.fr/pages_nominatives/batho-delphine,#77AA79,Opposition,Delphine Batho
PA340343,-0.26108712966993586,0.12671838228656593,Saulignac,Hervé,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,HSA,1.0,Ardèche,Cadre (entreprises publiques),https://www.hatvp.fr/pages_nominatives/saulignac-herve-8266,#DF84B5,Opposition,Hervé Saulignac
PA340643,0.45892215276198783,0.26140097101615134,Royer-Perreaut,Lionel,PO800538,RE,Renaissance,RE,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",6.0,Bouches-du-Rhône,Cadre,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Lionel Royer-Perreaut
PA342196,-0.31995059298551565,0.09892848345783932,Rouaux,Claudia,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,Mme,ROC,3.0,Ille-et-Vilaine,Gestionnaire à l'INRAE,https://www.hatvp.fr/pages_nominatives/rouaux-claudia,#DF84B5,Opposition,Claudia Rouaux
PA342240,0.23262553322722831,-0.11770662110462761,Bourgeaux,Jean-Luc,PO800508,LR,Les Républicains,LR,M.,JBO,7.0,Ille-et-Vilaine,Agriculteur,https://www.hatvp.fr/pages_nominatives/bourgeaux-jean-luc-18806,#4565AD,Opposition,Jean-Luc Bourgeaux
PA342384,-0.6096915990913017,0.058844914897959205,Martin,Élisa,PO800490,LFI-NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES,Mme,EMR,3.0,Isère,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/martin-elisa,#E42313,Opposition,Élisa Martin
PA342415,-0.38289230910153454,0.16806797255803743,Battistel,Marie-Noëlle,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,Mme,MNB,4.0,Isère,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/battistel-marie-noelle,#DF84B5,Opposition,Marie-Noëlle Battistel
PA344201,-0.31252511863367094,0.10727446076220472,Petit,Bertrand,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8.0,Pas-de-Calais,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#DF84B5,Opposition,Bertrand Petit
PA345722,0.4818756956172889,0.282178603645968,Le Grip,Constance,PO800538,RE,Renaissance,RE,Mme,CLG,6.0,Hauts-de-Seine,Conseillère parlementaire,https://www.hatvp.fr/pages_nominatives/le-grip-constance,#61468F,Majoritaire,Constance Le Grip
PA346054,0.21777727608844422,-0.11953406147220712,Maquet,Emmanuel,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3.0,Somme,Agent général d'assurances,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Emmanuel Maquet
PA346782,0.32266770714685955,-0.13583789235102572,Juvin,Philippe,PO800508,LR,Les Républicains,LR,M.,PJU,3.0,Hauts-de-Seine,Professeur de médecine,https://www.hatvp.fr/pages_nominatives/juvin-philippe,#4565AD,Opposition,Philippe Juvin
PA421348,0.34272896219269294,0.17190288319100452,Villiers,André,PO800514,HOR,Horizons et apparentés,HOR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2.0,Yonne,Agriculteur-propriétaire exploitant,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#32B3CA,Minoritaire,André Villiers
PA588884,-0.6199202129655753,0.05517113224098961,Autain,Clémentine,PO800490,LFI-NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES,Mme,CAU,11.0,Seine-Saint-Denis,Journaliste et autre média,https://www.hatvp.fr/pages_nominatives/autain-clementine,#E42313,Opposition,Clémentine Autain
PA605036,0.35067254477902804,0.24816914491169853,Abad,Damien,PO800538,RE,Renaissance,RE,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5.0,Ain,Sans profession déclarée,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Damien Abad
