acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group
PA1008,-0.289163221826502,0.062346826784744756,David,Alain,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,ADA,4.0,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,#DF84B5,Opposition,Alain David,-0.289163221826502,0.0680187330121226,31,-0.31950661068872815,0.1081142433749919,0.054912454589004664,proche,True,False,23.0,0.7419354838709677,146.0,805,539,218,48,0,0.0596273291925465,0.0,0.9403726708074536,755,736,19,0.9748344370860929,#DF84B5,Opposition,Gironde,1949-06-02,6.0,31.0
PA1206,-0.2425567716773279,-0.45819538238208446,Dupont-Aignan,Nicolas,PO793087,NI,Non inscrit,NI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8.0,Essonne,Administrateur de l'Etat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#8D949A,,Nicolas Dupont-Aignan,-0.2425567716773279,-0.4998789992830911,4,0.060142690255496754,-0.22749827637482367,0.38058917348572446,éloigné,False,True,1.0,0.25,154.0,185,125,52,8,0,0.0432432432432432,0.0,0.9567567567567568,160,154,6,0.9625,#8D949A,,Essonne,1961-03-07,2.0,3.0
PA1327,0.3985999380346861,-0.05009860539992789,Forissier,Nicolas,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2.0,Indre,Chef d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Nicolas Forissier,0.3985999380346861,-0.0546562486129795,63,0.23735003083145131,-0.1011820238444708,0.1691480068254784,intermédiaire,False,False,63.0,1.0,409.0,345,103,231,11,0,0.0318840579710144,0.0,0.9681159420289857,332,316,16,0.9518072289156626,#4565AD,Opposition,Indre,1961-02-17,4.0,47.0
PA1567,-0.3167879757209595,0.11632021331493017,Guedj,Jérôme,PO800496,SOC,Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,M.,JGD,6.0,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome,#DF84B5,Opposition,Jérôme Guedj,-0.3167879757209595,0.1269022649813079,31,-0.31950661068872815,0.1081142433749919,0.008644588986362795,proche,True,False,20.0,0.6451612903225806,143.0,640,458,141,41,0,0.0640625,0.0,0.9359375,597,593,4,0.9932998324958124,#DF84B5,Opposition,Essonne,1972-01-23,8.0,12.0
PA1592,0.1350490399895347,0.08953259180869423,Habib,David,PO793087,NI,Non inscrit,NI,M.,DHA,3.0,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,#8D949A,,David Habib,0.1350490399895347,0.097677681001225,4,0.060142690255496754,-0.22749827637482367,0.32575993094865596,éloigné,False,True,2.0,0.5,257.0,168,45,123,0,0,0.0,0.0,1.0,144,136,8,0.9444444444444444,#8D949A,,Pyrénées-Atlantiques,1961-03-16,1.0,4.0
PA1630,0.231128513470399,-0.07263410235091589,Herbillon,Michel,PO800508,LR,Les Républicains,LR,M.,MHR,8.0,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,#4565AD,Opposition,Michel Herbillon,0.231128513470399,-0.0792418775768551,63,0.23735003083145131,-0.1011820238444708,0.02921799274207675,proche,True,False,33.0,0.5238095238095238,305.0,196,65,127,4,0,0.0204081632653061,0.0,0.979591836734694,191,188,3,0.9842931937172776,#4565AD,Opposition,Val-de-Marne,1951-03-06,2.0,10.0
PA1874,0.2376255028798621,-0.1462620118332683,Le Fur,Marc,PO800508,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3.0,Côtes-d'Armor,Sous-préfet,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#4565AD,Opposition,Marc Le Fur,0.2376255028798621,-0.1595679723532817,63,0.23735003083145131,-0.1011820238444708,0.04508082964985875,proche,True,False,39.0,0.6190476190476191,311.0,447,221,206,20,0,0.0447427293064877,0.0,0.9552572706935124,426,415,11,0.9741784037558684,#4565AD,Opposition,Côtes-d'Armor,1956-11-28,9.0,24.0
PA2449,0.4776458855040428,0.30992331456080524,Pont,Jean-Pierre,PO800538,RE,Renaissance,RE,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5.0,Pas-de-Calais,Médecin,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#61468F,Majoritaire,Jean-Pierre Pont,0.4776458855040428,0.3381181092042615,180,0.4749796691166661,0.30203815253062255,0.008323730537838836,proche,True,False,95.0,0.5277777777777778,511.0,1154,348,804,2,0,0.0017331022530329,0.0,0.9982668977469672,1152,1147,5,0.9956597222222222,#61468F,Majoritaire,Pas-de-Calais,1950-05-09,47.0,50.0
PA266788,0.0770097578836453,0.11680275822995086,Morel-À-L'Huissier,Pierre,PO800532,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1.0,Lozère,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F8D434,Opposition,Pierre Morel-À-L'Huissier,0.0770097578836453,0.1274287086743361,21,-0.031208049831521683,0.026608198901140342,0.14087637289196217,intermédiaire,False,False,17.0,0.8095238095238095,198.0,174,101,47,26,0,0.1494252873563218,0.0,0.8505747126436781,139,129,10,0.9280575539568344,#F8D434,Opposition,Lozère,1958-12-21,15.0,17.0
PA266793,0.180739917344181,-0.11254107695187832,Bony,Jean-Yves,PO800508,LR,Les Républicains,LR,M.,JBY,2.0,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,#4565AD,Opposition,Jean-Yves Bony,0.180739917344181,-0.1227793275272124,63,0.23735003083145131,-0.1011820238444708,0.057738488346496655,proche,True,False,9.0,0.14285714285714285,278.0,701,296,314,91,0,0.12981455064194,0.0,0.8701854493580599,605,581,24,0.9603305785123968,#4565AD,Opposition,Cantal,1955-03-11,53.0,41.0
