acteur_id,nom,prenom,groupe_code,groupe_libelle_court,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate
PA795270,Poussier-Winsback,Marie-Agnès,HOR,HOR,1569,1559,10,0.9936265137029955
PA795278,Bellamy,Béatrice,HOR,HOR,1162,1154,8,0.9931153184165232
PA795298,Legavre,Jérôme,LFI-NUPES,LFI - NUPES,906,903,3,0.9966887417218543
PA795310,Guetté,Clémence,LFI-NUPES,LFI - NUPES,1027,1025,2,0.9980525803310614
PA795318,Boyard,Louis,LFI-NUPES,LFI - NUPES,718,717,1,0.9986072423398329
PA795326,Weissberg,Christopher,RE,RE,883,873,10,0.9886749716874292
PA795330,Caroit,Eléonore,RE,RE,701,697,4,0.9942938659058488
PA795350,Valletoux,Frédéric,HOR,HOR,962,955,7,0.9927234927234927
PA795354,Vilgrain,Juliette,HOR,HOR,71,69,2,0.971830985915493
PA795362,Belluco,Lisa,ECOLO,Ecolo - NUPES,863,861,2,0.9976825028968713
PA795374,Lecamp,Pascal,DEM,Dem,1550,1524,26,0.983225806451613
PA795386,Lefèvre,Mathieu,RE,RE,1954,1949,5,0.9974411463664279
PA795406,Périgault,Isabelle,LR,LR,463,446,17,0.9632829373650108
PA795410,Roullaud,Béatrice,RN,RN,1708,1691,17,0.9900468384074942
PA795422,Maudet,Damien,LFI-NUPES,LFI - NUPES,764,763,1,0.9986910994764397
PA795430,Delautrette,Stéphane,SOC,SOC,744,735,9,0.9879032258064516
PA795430,Delautrette,Stéphane,SOC-A,SOC,152,152,0,1
PA795438,Keke,Rachel,LFI-NUPES,LFI - NUPES,695,693,2,0.9971223021582734
PA795454,Ben Cheikh,Karim,ECOLO,Ecolo - NUPES,1055,1050,5,0.995260663507109
PA795466,Soudais,Ersilia,LFI-NUPES,LFI - NUPES,983,982,1,0.9989827060020345
PA795482,Meunier,Manon,LFI-NUPES,LFI - NUPES,1311,1309,2,0.9984744469870328
PA795508,Chandler,Émilie,RE,RE,1807,1801,6,0.9966795794133924
PA795516,Laisney,Maxime,LFI-NUPES,LFI - NUPES,1475,1471,4,0.9972881355932204
PA795528,Rodwell,Charles,RE,RE,1745,1729,16,0.9908309455587393
PA795540,Grenon,Daniel,RN,RN,881,876,5,0.9943246311010215
PA795552,Odoul,Julien,RN,RN,513,510,3,0.9941520467836257
PA795572,Bernaert,Denis,RE,RE,229,227,2,0.9912663755458515
PA795580,Chauche,Florian,LFI-NUPES,LFI - NUPES,971,967,4,0.995880535530381
PA795588,Amrani,Farida,LFI-NUPES,LFI - NUPES,958,957,1,0.9989561586638831
PA795596,Vannier,Paul,LFI-NUPES,LFI - NUPES,1036,1033,3,0.997104247104247
PA795604,Folest,Estelle,DEM,Dem,774,762,12,0.9844961240310077
PA795616,Bilongo,Carlos Martens,LFI-NUPES,LFI - NUPES,1029,1029,0,1
PA795636,Lucas-Lundy,Benjamin,ECOLO,Ecolo - NUPES,983,977,6,0.9938962360122076
PA795644,Da Conceicao Carvalho,Nathalie,RN,RN,787,784,3,0.9961880559085133
PA795652,Izard,Alexis,RE,RE,1692,1681,11,0.9934988179669031
PA795664,Midy,Paul,RE,RE,1726,1719,7,0.9959443800695249
PA795672,Le Gall,Arnaud,LFI-NUPES,LFI - NUPES,567,566,1,0.9982363315696648
PA795688,Emmanuel,Philippe,RE,RE,937,928,9,0.9903948772678762
PA795692,Martinet,William,LFI-NUPES,LFI - NUPES,826,824,2,0.9975786924939467
PA795708,Husson,Éric,RE,RE,32,32,0,1
PA795722,Olive,Karl,RE,RE,719,710,9,0.9874826147426982
PA795730,Marchive,Bastien,RE,RE,1051,1046,5,0.9952426260704091
PA795746,Léaument,Antoine,LFI-NUPES,LFI - NUPES,1448,1448,0,1
PA795762,Califer,Elie,SOC,SOC,708,700,8,0.9887005649717514
PA795762,Califer,Elie,SOC-A,SOC,54,53,1,0.9814814814814815
PA795774,Dordain,Ingrid,RE,RE,403,389,14,0.9652605459057072
PA795778,Tanguy,Jean-Philippe,RN,RN,1160,1150,10,0.9913793103448276
PA795786,Ménaché,Yaël,RN,RN,1021,1012,9,0.9911851126346719
PA795794,Pasquini,Francesca,ECOLO,Ecolo - NUPES,626,623,3,0.9952076677316294
PA795808,Sebaihi,Sabrina,ECOLO,Ecolo - NUPES,711,711,0,1
PA795820,Nadeau,Marcellin,GDR-NUPES,GDR - NUPES,499,494,5,0.9899799599198397
PA795828,Hajjar,Johnny,SOC,SOC,378,372,6,0.9841269841269841
PA795828,Hajjar,Johnny,SOC-A,SOC,35,35,0,1
PA795836,Cabrolier,Frédéric,RN,RN,1096,1086,10,0.9908759124087592
PA795844,Erodi,Karen,LFI-NUPES,LFI - NUPES,1128,1126,2,0.99822695035461
PA795864,Cazeneuve,Pierre,RE,RE,1752,1746,6,0.9965753424657534
PA795868,Castor,Jean-Victor,GDR-NUPES,GDR - NUPES,401,398,3,0.9925187032418953
PA795876,Rimane,Davy,GDR-NUPES,GDR - NUPES,461,458,3,0.9934924078091106
PA795884,Ferracci,Marc,RE,RE,1100,1098,2,0.9981818181818182
PA795900,Hamelet,Marine,RN,RN,1992,1976,16,0.9919678714859438
PA795908,Chenevard,Yannick,RE,RE,1356,1337,19,0.9859882005899705
PA795912,Lavalette,Laure,RN,RN,652,648,4,0.9938650306748467
