acteur_id,groupe_code,groupe_libelle_court,nom,prenom,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share
PA1001,UMPPO,Les Républicains,Daubresse,Marc-Philippe,1,1,0,0,0,0,0,1
PA1008,SOC,SOC,David,Alain,805,539,218,48,0,0.05962732919254658,0,0.9403726708074535
PA1008,SOC-A,SOC,David,Alain,66,42,22,2,0,0.030303030303030304,0,0.9696969696969697
PA1127,UCPOL,UC,Dhersin,Franck,1,1,0,0,0,0,0,1
PA1206,NI,NI,Dupont-Aignan,Nicolas,185,125,52,8,0,0.043243243243243246,0,0.9567567567567568
PA1327,LR,LR,Forissier,Nicolas,345,103,231,11,0,0.03188405797101449,0,0.9681159420289855
PA1567,SOC,SOC,Guedj,Jérôme,640,458,141,41,0,0.0640625,0,0.9359375
PA1567,SOC-A,SOC,Guedj,Jérôme,175,103,68,4,0,0.022857142857142857,0,0.9771428571428571
PA1573,RDSEP,RDSE,Guérini,Jean-Noël,1,1,0,0,0,0,0,1
PA1592,NI,NI,Habib,David,168,45,123,0,0,0,0,1
PA1630,LR,LR,Herbillon,Michel,196,65,127,4,0,0.02040816326530612,0,0.9795918367346939
PA1744,UMPPO,Les Républicains,Joyandet,Alain,1,1,0,0,0,0,0,1
PA1828,UMPPO,Les Républicains,Larcher,Gérard,1,0,0,1,0,1,0,0
PA1874,LR,LR,Le Fur,Marc,447,221,206,20,0,0.0447427293064877,0,0.9552572706935123
PA2042,RTLIP,Les Indépendants,Malhuret,Claude,1,1,0,0,0,0,0,1
PA205280,UMPPO,Les Républicains,Karoutchi,Roger,1,1,0,0,0,0,0,1
PA2074,SOCPO,SER,Marie,Didier,1,1,0,0,0,0,0,1
PA2197,UMPPO,Les Républicains,Milon,Alain,1,0,1,0,0,0,0,1
PA227094,UMPPO,Les Républicains,Sido,Bruno,1,0,1,0,0,0,0,1
PA227098,UCPOL,UC,Vanlerenberghe,Jean-Marie,1,1,0,0,0,0,0,1
PA2337,LREMP,RDPI,Patriat,François,1,1,0,0,0,0,0,1
PA2449,RE,RE,Pont,Jean-Pierre,1154,348,804,2,0,0.0017331022530329288,0,0.9982668977469671
PA2538,UMPPO,Les Républicains,Retailleau,Bruno,1,0,1,0,0,0,0,1
PA266788,LIOT,LIOT,Morel-À-L'Huissier,Pierre,174,101,47,26,0,0.14942528735632185,0,0.8505747126436781
PA266793,LR,LR,Bony,Jean-Yves,701,296,314,91,0,0.12981455064194009,0,0.8701854493580599
PA266795,UCPOL,UC,Gatel,Françoise,1,1,0,0,0,0,0,1
PA266797,LR,LR,Gosselin,Philippe,646,279,320,47,0,0.07275541795665634,0,0.9272445820433437
PA266808,LR,LR,Rolland,Vincent,299,152,128,19,0,0.06354515050167224,0,0.9364548494983278
PA267042,HOR,HOR,Favennec-Bécot,Yannick,293,70,203,20,0,0.06825938566552901,0,0.931740614334471
PA267042,LIOT,LIOT,Favennec-Bécot,Yannick,125,64,59,2,0,0.016,0,0.984
PA267075,UMPPO,Les Républicains,Blanc,Étienne,1,0,1,0,0,0,0,1
PA267081,UMPPO,Les Républicains,Gruny,Pascale,1,0,1,0,0,0,0,1
PA267112,UMPPO,Les Républicains,Deseyne,Chantal,1,0,1,0,0,0,0,1
PA267241,UCPOL,UC,Demilly,Stéphane,1,1,0,0,0,0,0,1
PA267306,GDR-NUPES,GDR - NUPES,Chassaigne,André,409,262,95,52,0,0.1271393643031785,0,0.8728606356968215
PA267318,RE,RE,Grelier,Jean-Carles,254,52,202,0,0,0,0,1
PA267324,LR,LR,Gaultier,Jean-Jacques,302,120,168,14,0,0.046357615894039736,0,0.9536423841059603
PA267328,UMPPO,Les Républicains,Perrin,Cédric,1,1,0,0,0,0,0,1
PA267336,RE,RE,Giraud,Joël,1846,578,1254,14,0,0.007583965330444204,0,0.9924160346695557
PA267340,UMPPO,Les Républicains,Darnaud,Mathieu,1,1,0,0,0,0,0,1
PA267387,LREMP,RDPI,Fouassin,Stéphane,1,1,0,0,0,0,0,1
PA267429,LR,LR,Cinieri,Dino,677,264,314,99,0,0.14623338257016247,0,0.8537666174298375
PA267512,RTLIP,Les Indépendants,Marc,Alain,1,1,0,0,0,0,0,1
PA267673,UCPOL,UC,Folliot,Philippe,1,0,0,1,0,1,0,0
PA267766,LIOT,LIOT,Bricout,Guy,488,243,180,65,0,0.13319672131147542,0,0.8668032786885246
PA267780,HOR,HOR,Firmin Le Bodo,Agnès,203,64,132,6,1,0.029556650246305417,0.0049261083743842365,0.9655172413793104
PA267794,LR,LR,Tabarot,Michèle,159,89,60,10,0,0.06289308176100629,0,0.9371069182389937
PA267901,LR,LR,Kamardine,Mansour,218,76,133,9,0,0.04128440366972477,0,0.9587155963302753
PA267907,RTLIP,Les Indépendants,Grand,Jean-Pierre,1,1,0,0,0,0,0,1
PA268007,CRCPO,CRCE-K,Corbisez,Jean-Pierre,1,1,0,0,0,0,0,1
PA268048,SOCPO,SER,Lurel,Victorin,1,1,0,0,0,0,0,1
PA2952,LIOT,LIOT,Warsmann,Jean-Luc,76,53,22,1,0,0.013157894736842105,0,0.9868421052631579
PA2960,RE,RE,Woerth,Éric,916,293,616,7,0,0.007641921397379912,0,0.99235807860262
PA303995,LREMP,RDPI,Schillinger,Patricia,1,1,0,0,0,0,0,1
PA303997,UMPPO,Les Républicains,Buffet,François-Noël,1,0,0,1,0,1,0,0
PA304017,UCPOL,UC,Morin-Desailly,Catherine,1,0,0,1,0,1,0,0
PA304085,UMPPO,Les Républicains,Cambon,Christian,1,1,0,0,0,0,0,1
PA309643,NI,NI,Besse,Véronique,127,71,29,27,0,0.2125984251968504,0,0.7874015748031497
PA313924,UMPPO,Les Républicains,Pointereau,Rémy,1,0,0,1,0,1,0,0
PA330008,LR,LR,Breton,Xavier,492,218,215,59,0,0.11991869918699187,0,0.8800813008130082
PA330240,LR,LR,Ciotti,Éric,280,107,167,6,0,0.02142857142857143,0,0.9785714285714285
PA330357,RE,RE,Dussopt,Olivier,27,17,9,0,1,0,0.037037037037037035,0.9629629629629629
PA330909,LR,LR,Descoeur,Vincent,828,313,424,91,0,0.10990338164251208,0,0.8900966183574879
PA331381,UMPPO,Les Républicains,Grosperrin,Jacques,1,1,0,0,0,0,0,1
PA331582,DEM,Dem,Vigier,Philippe,713,203,508,2,0,0.002805049088359046,0,0.9971949509116409
PA331835,RE,RE,Iborra,Monique,582,162,419,1,0,0.001718213058419244,0,0.9982817869415808
PA332228,HOR,HOR,Benoit,Thierry,1128,442,565,121,0,0.10726950354609929,0,0.8927304964539007
PA332523,LR,LR,Dalloz,Marie-Christine,687,232,421,34,0,0.049490538573508006,0,0.950509461426492
PA333285,SOC,SOC,Garot,Guillaume,361,259,67,35,0,0.09695290858725762,0,0.9030470914127424
PA333285,SOC-A,SOC,Garot,Guillaume,63,48,15,0,0,0,0,1
PA333421,LIOT,LIOT,Pancher,Bertrand,321,171,130,20,0,0.06230529595015576,0,0.9376947040498442
PA334116,RE,RE,Maquet,Jacqueline,751,241,509,1,0,0.0013315579227696406,0,0.9986684420772304
PA335054,SOC,SOC,Karamanli,Marietta,583,385,161,37,0,0.0634648370497427,0,0.9365351629502573
PA335054,SOC-A,SOC,Karamanli,Marietta,140,85,51,4,0,0.02857142857142857,0,0.9714285714285714
PA335612,GDR-NUPES,GDR - NUPES,Lecoq,Jean-Paul,504,355,123,26,0,0.051587301587301584,0,0.9484126984126984
PA335758,RE,RE,Riester,Franck,1,0,0,0,1,0,1,0
PA335999,ECOLO,Ecolo - NUPES,Batho,Delphine,533,351,145,37,0,0.06941838649155722,0,0.9305816135084428
PA337633,RDSEP,RDSE,Girardin,Annick,1,1,0,0,0,0,0,1
PA340343,SOC,SOC,Saulignac,Hervé,571,394,138,39,0,0.06830122591943957,0,0.9316987740805605
