dimension,classification_errors,correct_share,APRE,positive_APRE,distance_weight,coordinate_multiplier
Dimension 1,24600,0.9488710052874862,0.840519672481864,0.840519672481864,1.0,1.0
Dimension 2,45321,0.90580418010708,0.706186669778478,0.706186669778478,0.8401786334081496,0.9166125863243149
